kt,u_ratio,u_ratio+stdfit,u_ratio-stdfit,u_ratio+stdtot,u_ratio-stdtot
0.009999999776482582,0.7763228519372974,0.7924249071415502,0.75462075735271,0.8391610854241596,0.7150146179457889
0.019999999552965164,0.7764070184814049,0.7925019341263554,0.7547139104766025,0.8392489882735188,0.7150952184128698
0.029999999329447743,0.776557851141654,0.792639774597557,0.7548811935819091,0.8394064378395671,0.7152397393414416
0.03999999910593033,0.7767595688232795,0.7928242770032433,0.7551046309326312,0.8396170792797771,0.7154329412891103
0.04999999701976776,0.7770333391410567,0.793074416293391,0.7554083453370366,0.8399028637249907,0.7156952513901121
0.059999998658895486,0.7773491538205927,0.7933633572470334,0.7557582393609765,0.8402326864130003,0.7159976968339888
0.07000000029802321,0.7777403720521341,0.7937210615948066,0.7561923020668209,0.8406411580384419,0.7163724531059772
0.07999999821186066,0.7781924326734732,0.7941336101174219,0.7566930876251476,0.8411131960730861,0.7168054507864887
0.0899999961256981,0.7787033653271781,0.7946010816789313,0.7572607824699058,0.8416466867532031,0.7172948590233202
0.09999999403953552,0.7792764134796591,0.7951245192409587,0.7578962025408318,0.8422451666157258,0.7178436345669371
0.10999999940395357,0.7799101949041338,0.7957031137598924,0.7585990024776318,0.8429071049544203,0.7184505410039553
0.119999997317791,0.7806054841419253,0.7963381527133676,0.7593702583027301,0.8436333902752029,0.7191162403715942
0.12999999523162842,0.7813606578482564,0.7970280220629644,0.7602086039444784,0.8444222704757455,0.7198392348868298
0.14000000059604645,0.7821779191299096,0.7977749597013046,0.7611161568813138,0.8452761592187679,0.7206215214044526
0.14999999105930328,0.7830573396200904,0.7985776632934013,0.7620918226554237,0.8461951357067964,0.7214631641353371
0.1599999964237213,0.7839979167865446,0.7994368428339717,0.7631366365314172,0.8471781116545831,0.7223632443398633
0.17000000178813934,0.7850014623637781,0.8003527685735357,0.7642505130709186,0.8482271227703203,0.7233233532484967
0.17999999225139618,0.7860674183882224,0.8013258839101939,0.7654344674612441,0.8493415282192323,0.7243430147327792
0.1899999976158142,0.78719513065929,0.802355677984562,0.7666876864766068,0.8505207128976537,0.7254215340844284
0.19999998807907104,0.7883875311204592,0.8034435011780164,0.7680120839241015,0.8517677920378164,0.7265616658243168
0.20999999344348907,0.7896429018962912,0.8045891732597935,0.7694072542300512,0.8530810026814232,0.7277617336504485
0.21999999880790713,0.7909607890347946,0.8057917903382714,0.770872598571058,0.8544598668658561,0.7290213067195087
0.22999998927116394,0.7923447225014637,0.8070540485062101,0.7724108354561443,0.8559082289319627,0.7303436075486888
0.239999994635582,0.7937932821315389,0.8083748256463187,0.7740213090718819,0.8574245583185395,0.7317273235757915
0.25,0.7953052321700655,0.8097541691295038,0.7757040447627624,0.8590075932850887,0.7331712425009497
0.25999999046325684,0.7968844234523188,0.8111937388012812,0.7774606814964737,0.8606615389842627,0.734678868381483
0.2699999809265137,0.7985296242214247,0.812693206327711,0.7792912105374314,0.8623850979728697,0.7362490326817696
0.2800000011920929,0.8002394434889314,0.8142519362423823,0.7811956019907523,0.8641767684623489,0.7378804524813471
0.2899999916553497,0.8020182536377154,0.8158723911315472,0.7831759749691167,0.8660413703980969,0.7395770610936201
0.29999998211860657,0.8038635380949952,0.8175537505283356,0.7852319020122035,0.8679762283276882,0.7413364958120962
0.31000000238418574,0.8057781774769298,0.8192972745863784,0.7873649217907404,0.8699844860939003,0.743161379671052
0.3199999928474426,0.807761262656233,0.8211029077180582,0.7895753034994735,0.8720652140922834,0.7450508221623959
0.32999998331069946,0.8098135903326986,0.8229715780959608,0.7918639049016185,0.8742193692697456,0.7470054611797583
0.3400000035762787,0.811936619484888,0.8249035376582304,0.7942316210729711,0.8764485370206592,0.749026632159459
0.3499999940395355,0.8141291230580644,0.8268980194324297,0.7966777516371729,0.8787514915728812,0.7511131042083665
0.3599999845027924,0.8163936509663433,0.8289584835472139,0.7992059230619127,0.8811310589394572,0.7532671560739013
0.3700000047683716,0.8187313957184491,0.8310843277778142,0.8018159555987142,0.8835885813314769,0.7554898328430864
0.3799999952316284,0.8211422474075479,0.8332758159493342,0.8045085580300103,0.8861240047348058,0.7577809684124541
0.3899999856948853,0.8236262026079639,0.8355338549157408,0.8072848708426792,0.8887374194680988,0.7601404654737568
0.3999999761581421,0.8261858571649728,0.8378593787055985,0.8101459609998689,0.8914317267502065,0.7625706194799482
0.4099999964237213,0.8288199490925794,0.8402516946721654,0.813091673795436,0.8942056411519944,0.7650701892899512
0.41999998688697815,0.8315320550587171,0.8427142309179078,0.8161257925428781,0.8970631075980673,0.7676423902514594
0.42999997735023493,0.8343210139213924,0.8452464574098865,0.8192482346256255,0.9000029731940745,0.7702860505379767
0.43999999761581426,0.8371890506773998,0.8478493078741229,0.8224602589967445,0.9030277463553019,0.7730031159611178
0.44999998807907104,0.8401374408441441,0.8505239598606095,0.8257630385959664,0.9061389522907055,0.775794614642598
0.4599999785423279,0.8431654720776695,0.8532705088535248,0.8291577586366763,0.9093358797660817,0.7786598316370392
0.4699999988079071,0.8462770290215582,0.856091123520644,0.8326466335608692,0.9126228713411924,0.7816022011108521
0.479999989271164,0.8494711825300558,0.8589854776372664,0.8362300059744743,0.9159990405673228,0.784620749210325
0.4899999797344208,0.8527509091321913,0.8619564200872307,0.8399111411284866,0.9194677350745133,0.7877180870292975
0.5,0.8561167380401641,0.8650052080068582,0.8436916318532796,0.9230296839062986,0.7908945447490487
0.5099999904632568,0.8595685012077859,0.8681297030423802,0.8475700978654507,0.9266848398671896,0.7941498329313029
0.5199999809265137,0.8631115453192869,0.8713355749651724,0.8515527712422242,0.930439117857083,0.7974887403677753
0.5299999713897705,0.8667440066039396,0.8746211836263642,0.855638484381822,0.9342906894084935,0.8009093640190703
0.5399999618530275,0.8704700576514539,0.877990068027348,0.8598313001137338,0.9382442286057555,0.8044153829426302
0.550000011920929,0.8742865633606457,0.8814415351873537,0.8641309525136085,0.942296559597496,0.8080036962716131
0.5600000023841858,0.878201184216308,0.8849776410409114,0.8685405637242195,0.9464560972666554,0.8116812249696976
0.5699999928474426,0.8822144822118604,0.8886024665640504,0.8730651145864089,0.9507236427465261,0.8154482926864058
0.5799999833106994,0.8863263141151109,0.8923147000016172,0.8777035193009293,0.9550992894442311,0.8193045188707632
0.5899999737739563,0.8905438227129151,0.8961191971857175,0.8824609668664628,0.9595909762407172,0.8232562639387663
0.5999999642372131,0.8948602643931083,0.9000137925869688,0.8873368903187512,0.9641916388038843,0.8272970913442186
0.6100000143051147,0.8992866177478257,0.9040050821205915,0.8923384188991451,0.9689133672929195,0.8314368893838924
0.6200000047683716,0.9038207324110846,0.9080920536412076,0.8974650485010262,0.9737541263781315,0.8356733879518382
0.6299999952316284,0.9084682835810296,0.912279723416934,0.9027227374321782,0.9787203028239102,0.8400115614534478
0.6399999856948853,0.9132305894191909,0.9165677775694372,0.9081121932394726,0.9838136059221069,0.8444523390570934
0.6499999761581421,0.9181107794865194,0.9209617694464973,0.9136389842594557,0.9890377403421121,0.8489982808637601
0.6599999666213989,0.9231103596678251,0.9254620675571502,0.9193040108203341,0.9943946519398816,0.8536504552419885
0.6699999570846558,0.9282349371209018,0.9300746517277328,0.9251129398904778,0.9998907281955856,0.8584136995516591
0.6800000071525574,0.9334885116084765,0.9348030956209703,0.9310666177341356,1.0055306513465587,0.8632913383890018
0.6899999976158142,0.9388740590019733,0.9396593140187774,0.9371659974294262,1.0113180224852774,0.8682857276569991
0.699999988079071,0.9443937883293008,0.9446744979590772,0.943381256484933,1.0172556390174528,0.8733984917106888
0.7099999785423279,0.950055710036279,0.9501880328602915,0.9493891459498023,1.0233525691924632,0.8786365983331704
0.7199999690055847,0.9558594171587591,0.9566216720433779,0.9547636689505704,1.0296088470086637,0.8839991980558435
0.7299999594688414,0.9618164360465452,0.9633746340962104,0.9601373597122659,1.0360373877848994,0.889496450266406
0.740000009536743,0.9679289942427464,0.9703300147413614,0.965626941534258,1.0426411231790182,0.8951298819777955
0.75,0.9742027822102824,0.9774806655786946,0.9712515196729113,1.0494267515382605,0.9009041861490528
0.7599999904632568,0.980645056975539,0.9848281897000968,0.9770183200957421,1.0564026834747933,0.9068254796690012
0.7699999809265136,0.9872555407183327,0.9923803246248376,0.9829347796959436,1.0635692846613662,0.9128928396817371
0.7799999713897706,0.9940498515483953,1.0001474015584817,0.9890102555530512,1.0709440686763736,0.9191200186777485
0.7899999618530275,1.0010356050971865,1.008138980129071,0.9952535182634177,1.0785359367030398,0.9255133607744384
0.7999999523162842,1.0082225228902906,1.0163639678896392,1.001669816893321,1.0863562029004756,0.9320810128590266
0.8100000023841859,1.0156063187923305,1.0248288335367406,1.0082636814630552,1.0944010779140392,0.9388181823710738
0.8199999928474426,1.0232190625559838,1.0335524815442267,1.0150501370647107,1.1027060646486921,0.945753567945505
0.8299999833106994,1.0310444489679618,1.0425382998892543,1.0220303258498364,1.1112545496586408,0.9528711390692787
0.8399999737739563,1.03911839658935,1.0518069650080126,1.0292211448510689,1.1200862882578357,0.9602030470921846
0.8499999642372131,1.0474388271144521,1.0613758164026692,1.0366348154835796,1.1292003013163454,0.9677461087186662
0.8599999547004699,1.05602926232716,1.0712576504475344,1.0442815574706725,1.138623055897665,0.9755209454782567
0.8700000047683715,1.0649003010101117,1.0814681467761282,1.0521710982348627,1.1483674444864593,0.9835358814612208
0.8799999952316285,1.0740639527724858,1.0920256268524429,1.0603177494449487,1.1584478114880365,0.9918006134412917
0.8899999856948851,1.0835497630990958,1.102962720631309,1.068747057727378,1.1688977420470115,1.0003407034001248
0.8999999761581422,1.0933684577933682,1.1142930318407551,1.0774669774771484,1.1797305585349545,1.00916429960056
0.9099999666213988,1.103553851946201,1.126050851011148,1.0865054970876218,1.1909845877366112,1.0183007699893212
0.9199999570846557,1.1141205487414814,1.1382613300555586,1.0958802138951995,1.2026777556706465,1.0277614211610038
0.9300000071525572,1.125100837410056,1.1509536280215147,1.105610525207975,1.214847421608895,1.0375735330621139
0.9399999976158142,1.136508903927233,1.164164212593321,1.1157254191042736,1.227511371490999,1.047747716926423
0.949999988079071,1.148412434477391,1.1779461764714532,1.1262659637336823,1.2407456318081622,1.058343448851069
0.959999978542328,1.1608232008820416,1.1923307450392033,1.1372529227448958,1.2545661508995587,1.0693683438217205
0.9699999690055848,1.1738066494871315,1.207379932573978,1.148735227303711,1.2690471064450173,1.080879242220568
0.9799999594688416,1.1873853783497077,1.2231482345278266,1.1607508245023153,1.2842174660433776,1.09289241216774
0.9899999499320986,1.2016345311557608,1.2396930219475575,1.1733428254339717,1.3001625214660013,1.1054729933785639
1.0,1.2166023249249256,1.257089486985974,1.18656695780024,1.3169398118854878,1.1186599702046889
