 gamma g3f pt DY-RATIO error R_dy tmp element 
   1.0000000000000000        0.0000000000000000       0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97718912485288190       0.25794229979018035      Fe
   1.0000000000000000        2.5125628140703518E-003  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97660811995234453       0.23393827921531243      Fe
   1.0000000000000000        5.0251256281407036E-003  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97602779518602589       0.21113240740440370      Fe
   1.0000000000000000        7.5376884422110550E-003  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97544302593784549       0.18933470614325393      Fe
   1.0000000000000000        1.0050251256281407E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97486320556432959       0.16889379167399804      Fe
   1.0000000000000000        1.2562814070351759E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97428641637097035       0.14971793231775482      Fe
   1.0000000000000000        1.5075376884422110E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97370718703914205       0.13162344815035396      Fe
   1.0000000000000000        1.7587939698492462E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97312825040784046       0.11470217828569278      Fe
   1.0000000000000000        2.0100502512562814E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97255342551733936        9.9052494871517224E-002 Fe
   1.0000000000000000        2.2613065326633167E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97197512668892638        8.4465958900301313E-002 Fe
   1.0000000000000000        2.5125628140703519E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97139715049187403        7.1047802805007859E-002 Fe
   1.0000000000000000        2.7638190954773871E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97081950655147020        5.8796278650355832E-002 Fe
   1.0000000000000000        3.0150753768844220E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.97050923664236144        5.2693903440170636E-002 Fe
   1.0000000000000000        3.2663316582914576E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96993221798747253        4.2233983117965133E-002 Fe
   1.0000000000000000        3.5175879396984924E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96935555945212060        3.2935587050273163E-002 Fe
   1.0000000000000000        3.7688442211055273E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96877926998110075        2.4796669427169328E-002 Fe
   1.0000000000000000        4.0201005025125629E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96809070673297304        1.6584146022994906E-002 Fe
   1.0000000000000000        4.2713567839195977E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96751524471816586        1.0983430542120479E-002 Fe
   1.0000000000000000        4.5226130653266333E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96687113743630626        6.0783946276855580E-003 Fe
   1.0000000000000000        4.7738693467336682E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96629651182833720        2.9183036823235294E-003 Fe
   1.0000000000000000        5.0251256281407038E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96561153596544125        6.4926430039617537E-004 Fe
   1.0000000000000000        5.2763819095477386E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96502868582073487        1.4286047070046174E-006 Fe
   1.0000000000000000        5.5276381909547742E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96445537417799154        5.1496056596936519E-004 Fe
   1.0000000000000000        5.7788944723618091E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96388249741682408        2.1680764295221953E-003 Fe
   1.0000000000000000        6.0301507537688440E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96313342006245217        6.0488205959304446E-003 Fe
   1.0000000000000000        6.2814070351758788E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96256153098510588        1.0323144334372444E-002 Fe
   1.0000000000000000        6.5326633165829151E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96199009901446653        1.5728305456102758E-002 Fe
   1.0000000000000000        6.7839195979899500E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96141913129692214        2.2261494216462362E-002 Fe
   1.0000000000000000        7.0351758793969849E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96074106088153677        3.1490559747875180E-002 Fe
   1.0000000000000000        7.2864321608040197E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.96017109965321967        4.0483122498498031E-002 Fe
   1.0000000000000000        7.5376884422110546E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.95953573619449961        5.1837116208509115E-002 Fe
   1.0000000000000000        7.7889447236180909E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.95865851284528358        6.9816769676098803E-002 Fe
   1.0000000000000000        8.0402010050251257E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.95809019862396738        8.2891241417051800E-002 Fe
   1.0000000000000000        8.2914572864321606E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.95741684228928847        9.9833820947088925E-002 Fe
   1.0000000000000000        8.5427135678391955E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.95684959753296084       0.11532822981721796      Fe
   1.0000000000000000        8.7939698492462318E-002  0.75000000000000000       0.96499999999999997        2.4000000000000000E-002  0.95628286932999618       0.13192424846861242      Fe
