 pt	ptmin	ptmax	value	error	Q
0.1	0	0.2	9160	420	4.5
0.3	0.2	0.4	7650	300	4.5
0.5	0.4	0.6	6610	300	4.5
0.7	0.6	0.8	5580	300	4.5
0.9	0.8	1	3910	270	4.5
1.1	1	1.2	2730	230	4.5
1.3	1.2	1.4	1850	200	4.5
1.5	1.4	1.6	1580	200	4.5
1.7	1.6	1.8	838	155	4.5
1.9	1.8	2	503	136	4.5
2.1	2	2.2	397	102	4.5
2.3	2.2	2.4	189	84	4.5
2.5	2.4	2.6	58	101	4.5
2.7	2.6	2.8	212	194	4.5
2.9	2.8	3	-139	108	4.5
3.1	3	3.2	-50	-50	4.5
3.3	3.2	3.4	-50	-50	4.5
3.5	3.4	3.6	-50	-50	4.5
3.7	3.6	3.8	-50	-50	4.5
3.9	3.8	4	-50	-50	4.5
4.1	4	4.2	-50	-50	4.5
4.3	4.2	4.4	-50	-50	4.5
4.5	4.4	4.6	-50	-50	4.5
0.1	0	0.2	2570	160	5.5
0.3	0.2	0.4	2300	100	5.5
0.5	0.4	0.6	2070	100	5.5
0.7	0.6	0.8	1820	110	5.5
0.9	0.8	1	1130	80	5.5
1.1	1	1.2	872	73	5.5
1.3	1.2	1.4	635	61	5.5
1.5	1.4	1.6	384	42	5.5
1.7	1.6	1.8	260	38	5.5
1.9	1.8	2	124	25	5.5
2.1	2	2.2	103	22	5.5
2.3	2.2	2.4	79	23	5.5
2.5	2.4	2.6	32	13	5.5
2.7	2.6	2.8	14	12	5.5
2.9	2.8	3	6.6	11.5	5.5
3.1	3	3.2	5.5	9.6	5.5
3.3	3.2	3.4	-50	-50	5.5
3.5	3.4	3.6	-50	-50	5.5
3.7	3.6	3.8	-50	-50	5.5
3.9	3.8	4	13.3	13.8	5.5
4.1	4	4.2	-50	-50	5.5
4.3	4.2	4.4	-50	-50	5.5
4.5	4.4	4.6	-50	-50	5.5
0.1	0	0.2	849	70	6.5
0.3	0.2	0.4	783	43	6.5
0.5	0.4	0.6	655	35	6.5
0.7	0.6	0.8	540	33	6.5
0.9	0.8	1	414	30	6.5
1.1	1	1.2	286	24	6.5
1.3	1.2	1.4	187	19	6.5
1.5	1.4	1.6	182	20	6.5
1.7	1.6	1.8	110	14	6.5
1.9	1.8	2	72	13	6.5
2.1	2	2.2	40.8	9.9	6.5
2.3	2.2	2.4	21.9	6.8	6.5
2.5	2.4	2.6	19	6.5	6.5
2.7	2.6	2.8	7.9	4	6.5
2.9	2.8	3	11	5	6.5
3.1	3	3.2	1.9	1.9	6.5
3.3	3.2	3.4	2.3	2.3	6.5
3.5	3.4	3.6	-50	-50	6.5
3.7	3.6	3.8	2.8	2.9	6.5
3.9	3.8	4	-50	-50	6.5
4.1	4	4.2	-50	-50	6.5
4.3	4.2	4.4	-50	-50	6.5
4.5	4.4	4.6	-50	-50	6.5
0.1	0	0.2	286	39	7.5
0.3	0.2	0.4	253	22	7.5
0.5	0.4	0.6	237	19	7.5
0.7	0.6	0.8	197	16	7.5
0.9	0.8	1	145	14	7.5
1.1	1	1.2	110	12	7.5
1.3	1.2	1.4	78.1	9.8	7.5
1.5	1.4	1.6	38	7.2	7.5
1.7	1.6	1.8	46.4	8.2	7.5
1.9	1.8	2	19.2	4.9	7.5
2.1	2	2.2	25	6	7.5
2.3	2.2	2.4	11.8	4.1	7.5
2.5	2.4	2.6	5.2	2.7	7.5
2.7	2.6	2.8	-50	-50	7.5
2.9	2.8	3	1.1	1.1	7.5
3.1	3	3.2	1.2	1.2	7.5
3.3	3.2	3.4	-50	-50	7.5
3.5	3.4	3.6	-50	-50	7.5
3.7	3.6	3.8	-50	-50	7.5
3.9	3.8	4	-50	-50	7.5
4.1	4	4.2	1.7	1.7	7.5
4.3	4.2	4.4	-50	-50	7.5
4.5	4.4	4.6	1.7	1.7	7.5
0.1	0	0.2	96	20	8.5
0.3	0.2	0.4	70	11	8.5
0.5	0.4	0.6	70	9	8.5
0.7	0.6	0.8	73	9	8.5
0.9	0.8	1	53	7	8.5
1.1	1	1.2	52	8	8.5
1.3	1.2	1.4	32	6	8.5
1.5	1.4	1.6	18	4	8.5
1.7	1.6	1.8	10.2	3.4	8.5
1.9	1.8	2	2.3	1.3	8.5
2.1	2	2.2	7	3	8.5
2.3	2.2	2.4	1.6	1.2	8.5
2.5	2.4	2.6	0.88	0.89	8.5
2.7	2.6	2.8	-50	-50	8.5
2.9	2.8	3	-50	-50	8.5
3.1	3	3.2	1	1	8.5
3.3	3.2	3.4	-50	-50	8.5
3.5	3.4	3.6	-50	-50	8.5
3.7	3.6	3.8	-50	-50	8.5
3.9	3.8	4	-50	-50	8.5
4.1	4	4.2	-50	-50	8.5
4.3	4.2	4.4	-50	-50	8.5
4.5	4.4	4.6	-50	-50	8.5
0.1	0	0.2	91	21	9.5
0.3	0.2	0.4	66	10	9.5
0.5	0.4	0.6	66	8	9.5
0.7	0.6	0.8	69	9	9.5
0.9	0.8	1	50	7	9.5
1.1	1	1.2	50	7.7	9.5
1.3	1.2	1.4	30	5.6	9.5
1.5	1.4	1.6	16.6	4	9.5
1.7	1.6	1.8	9.7	3.3	9.5
1.9	1.8	2	2.2	1.3	9.5
2.1	2	2.2	6.7	2.9	9.5
2.3	2.2	2.4	1.55	1.12	9.5
2.5	2.4	2.6	0.84	0.84	9.5
2.7	2.6	2.8	-50	-50	9.5
2.9	2.8	3	-50	-50	9.5
3.1	3	3.2	0.96	0.98	9.5
3.3	3.2	3.4	-50	-50	9.5
3.5	3.4	3.6	-50	-50	9.5
3.7	3.6	3.8	-50	-50	9.5
3.9	3.8	4	-50	-50	9.5
4.1	4	4.2	-50	-50	9.5
4.3	4.2	4.4	-50	-50	9.5
4.5	4.4	4.6	-50	-50	9.5
0.1	0	0.2	18.7	7.2	10.5
0.3	0.2	0.4	16.6	4	10.5
0.5	0.4	0.6	12.1	2.6	10.5
0.7	0.6	0.8	10.1	2.2	10.5
0.9	0.8	1	62.4	1.6	10.5
1.1	1	1.2	6.6	1.7	10.5
1.3	1.2	1.4	2.3	0.9	10.5
1.5	1.4	1.6	3.7	1.2	10.5
1.7	1.6	1.8	4.6	1.4	10.5
1.9	1.8	2	0.75	0.53	10.5
2.1	2	2.2	0.47	0.47	10.5
2.3	2.2	2.4	-50	-50	10.5
2.5	2.4	2.6	-50	-50	10.5
2.7	2.6	2.8	0.37	0.37	10.5
2.9	2.8	3	0.44	0.44	10.5
3.1	3	3.2	-50	-50	10.5
3.3	3.2	3.4	-50	-50	10.5
3.5	3.4	3.6	-50	-50	10.5
3.7	3.6	3.8	-50	-50	10.5
3.9	3.8	4	-50	-50	10.5
