pt	ptmin	ptmax	value	error	Q
1.5	1.4	1.6	8.2	0.8	10.5
1.7	1.6	1.8	6	0.6	10.5
1.9	1.8	2	4.8	0.6	10.5
2.1	2	2.2	3.2	0.5	10.5
2.3	2.2	2.4	2.5	0.4	10.5
2.5	2.4	2.6	1.4	0.3	10.5
2.7	2.6	2.8	1	0.3	10.5
2.9	2.8	3	1	0.3	10.5
3.1	3	3.2	0.28	0.14	10.5
3.3	3.2	3.4	0.58	0.22	10.5
3.5	3.4	3.6	0.35	0.16	10.5
3.7	3.6	3.8	0.06	0.06	10.5
3.9	3.8	4	-50	-50	10.5
4.1	4	4.2	0.08	0.08	10.5
4.3	4.2	4.4	0.16	0.16	10.5
4.5	4.4	4.6	0.07	0.07	10.5
4.7	4.6	4.8	-50	-50	10.5
4.9	4.8	5	-50	-50	10.5
0.1	0	0.2	9.93	2.14	11.5
0.3	0.2	0.4	6.99	0.97	11.5
0.5	0.4	0.6	7.53	0.86	11.5
0.7	0.6	0.8	5.09	0.6	11.5
0.9	0.8	1	3.77	0.47	11.5
1.1	1	1.2	3.34	0.43	11.5
1.3	1.2	1.4	2.89	0.4	11.5
1.5	1.4	1.6	2.31	0.37	11.5
1.7	1.6	1.8	1.2	0.25	11.5
1.9	1.8	2	0.91	0.22	11.5
2.1	2	2.2	0.52	0.16	11.5
2.3	2.2	2.4	0.32	0.13	11.5
2.5	2.4	2.6	0.31	0.12	11.5
2.7	2.6	2.8	0.16	0.1	11.5
2.9	2.8	3	0.21	0.11	11.5
3.1	3	3.2	0.05	0.05	11.5
3.3	3.2	3.4	0.049	0.049	11.5
3.5	3.4	3.6	0.046	0.046	11.5
3.7	3.6	3.8	-50	-50	11.5
3.9	3.8	4	-50	-50	11.5
4.1	4	4.2	-50	-50	11.5
4.3	4.2	4.4	-50	-50	11.5
4.5	4.4	4.6	-50	-50	11.5
4.7	4.6	4.8	-50	-50	11.5
4.9	4.8	5	-50	-50	11.5
0.1	0	0.2	2.25	0.85	12.5
0.3	0.2	0.4	2.59	0.54	12.5
0.5	0.4	0.6	1.57	0.35	12.5
0.7	0.6	0.8	2.07	0.34	12.5
0.9	0.8	1	1.54	0.27	12.5
1.1	1	1.2	1.29	0.24	12.5
1.3	1.2	1.4	0.97	0.2	12.5
1.5	1.4	1.6	0.85	0.18	12.5
1.7	1.6	1.8	0.52	0.14	12.5
1.9	1.8	2	0.16	0.08	12.5
2.1	2	2.2	0.24	0.1	12.5
2.3	2.2	2.4	0.13	0.08	12.5
2.5	2.4	2.6	-50	-50	12.5
2.7	2.6	2.8	0.12	0.07	12.5
2.9	2.8	3	0.037	0.037	12.5
3.1	3	3.2	0.039	0.039	12.5
3.3	3.2	3.4	-50	-50	12.5
3.5	3.4	3.6	-50	-50	12.5
3.7	3.6	3.8	-50	-50	12.5
3.9	3.8	4	-50	-50	12.5
4.1	4	4.2	-50	-50	12.5
4.3	4.2	4.4	-50	-50	12.5
4.5	4.4	4.6	-50	-50	12.5
4.7	4.6	4.8	-50	-50	12.5
4.9	4.8	5	-50	-50	12.5
0.1	0	0.2	0.87	0.51	13.5
0.3	0.2	0.4	0.57	0.23	13.5
0.5	0.4	0.6	0.62	0.2	13.5
0.7	0.6	0.8	0.85	0.21	13.5
0.9	0.8	1	0.38	0.13	13.5
1.1	1	1.2	0.35	0.11	13.5
1.3	1.2	1.4	0.29	0.1	13.5
1.5	1.4	1.6	0.19	0.08	13.5
1.7	1.6	1.8	0.09	0.05	13.5
1.9	1.8	2	0.11	0.07	13.5
2.1	2	2.2	-50	-50	13.5
2.3	2.2	2.4	0.057	0.041	13.5
2.5	2.4	2.6	0.03	0.03	13.5
2.7	2.6	2.8	-50	-50	13.5
2.9	2.8	3	-50	-50	13.5
3.1	3	3.2	-50	-50	13.5
3.3	3.2	3.4	-50	-50	13.5
3.5	3.4	3.6	-50	-50	13.5
3.7	3.6	3.8	-50	-50	13.5
3.9	3.8	4	-50	-50	13.5
4.1	4	4.2	-50	-50	13.5
4.3	4.2	4.4	-50	-50	13.5
4.5	4.4	4.6	-50	-50	13.5
4.7	4.6	4.8	-50	-50	13.5
4.9	4.8	5	-50	-50	13.5
