pt	ptmin	ptmax	value	error	Q
0.1	0	0.2	6290	320	4.5
0.3	0.2	0.4	5880	240	4.5
0.5	0.4	0.6	4750	230	4.5
0.7	0.6	0.8	3690	220	4.5
0.9	0.8	1	2930	220	4.5
1.1	1	1.2	1680	160	4.5
1.3	1.2	1.4	1260	140	4.5
1.5	1.4	1.6	678	124	4.5
1.7	1.6	1.8	598	102	4.5
1.9	1.8	2	59	67	4.5
2.1	2	2.2	176	62	4.5
2.3	2.2	2.4	-33	55	4.5
2.5	2.4	2.6	105	56	4.5
2.7	2.6	2.8	-73	75	4.5
2.9	2.8	3	-50	-50	4.5
3.1	3	3.2	-50	-50	4.5
3.3	3.2	3.4	-50	-50	4.5
0.1	0	0.2	1630	110	5.5
0.3	0.2	0.4	1440	80	5.5
0.5	0.4	0.6	1190	70	5.5
0.7	0.6	0.8	1040	70	5.5
0.9	0.8	1	601	51	5.5
1.1	1	1.2	441	43	5.5
1.3	1.2	1.4	248	30	5.5
1.5	1.4	1.6	255	36	5.5
1.7	1.6	1.8	159	28	5.5
1.9	1.8	2	63	15	5.5
2.1	2	2.2	44	16	5.5
2.3	2.2	2.4	50	16	5.5
2.5	2.4	2.6	8.1	8.3	5.5
2.7	2.6	2.8	11.8	8.7	5.5
2.9	2.8	3	4.2	4.2	5.5
3.1	3	3.2	-50	-50	5.5
3.3	3.2	3.4	-5	5.1	5.5
0.1	0	0.2	399	43	6.5
0.3	0.2	0.4	342	25	6.5
0.5	0.4	0.6	333	22	6.5
0.7	0.6	0.8	255	20	6.5
0.9	0.8	1	181	17	6.5
1.1	1	1.2	130	14	6.5
1.3	1.2	1.4	73	11	6.5
1.5	1.4	1.6	45	8	6.5
1.7	1.6	1.8	35	7	6.5
1.9	1.8	2	20	6	6.5
2.1	2	2.2	8.3	3.7	6.5
2.3	2.2	2.4	9.4	4.3	6.5
2.5	2.4	2.6	5.3	3.1	6.5
2.7	2.6	2.8	1.8	1.8	6.5
2.9	2.8	3	-50	-50	6.5
3.1	3	3.2	-50	-50	6.5
3.3	3.2	3.4	-50	-50	6.5
0.1	0	0.2	94.5	18.8	7.5
0.3	0.2	0.4	90.1	11.1	7.5
0.5	0.4	0.6	70.2	8.4	7.5
0.7	0.6	0.8	52.2	6.9	7.5
0.9	0.8	1	41.1	6.1	7.5
1.1	1	1.2	29.7	5.4	7.5
1.3	1.2	1.4	16.4	3.8	7.5
1.5	1.4	1.6	9.5	2.9	7.5
1.7	1.6	1.8	6.9	2.5	7.5
1.9	1.8	2	3.7	1.7	7.5
2.1	2	2.2	3.2	1.9	7.5
2.3	2.2	2.4	1.6	1.2	7.5
2.5	2.4	2.6	-50	-50	7.5
2.7	2.6	2.8	-50	-50	7.5
2.9	2.8	3	-50	-50	7.5
3.1	3	3.2	1.1	1.2	7.5
3.3	3.2	3.4	-50	-50	7.5
0.1	0	0.2	22.2	7.5	8.5
0.3	0.2	0.4	16.5	3.8	8.5
0.5	0.4	0.6	13.4	2.9	8.5
0.7	0.6	0.8	10	2.3	8.5
0.9	0.8	1	6.1	1.7	8.5
1.1	1	1.2	5.2	1.6	8.5
1.3	1.2	1.4	6	1.8	8.5
1.5	1.4	1.6	1.7	1	8.5
1.7	1.6	1.8	1.05	0.75	8.5
1.9	1.8	2	1.05	0.75	8.5
2.1	2	2.2	0.58	0.58	8.5
2.3	2.2	2.4	-50	-50	8.5
2.5	2.4	2.6	-50	-50	8.5
2.7	2.6	2.8	-50	-50	8.5
2.9	2.8	3	0.53	0.53	8.5
3.1	3	3.2	-50	-50	8.5
3.3	3.2	3.4	-50	-50	8.5
0.1	0	0.2	15.8	6.1	9.5
0.3	0.2	0.4	1.86	1.08	9.5
0.5	0.4	0.6	4.28	1.45	9.5
0.7	0.6	0.8	2.27	0.94	9.5
0.9	0.8	1	4.37	1.35	9.5
1.1	1	1.2	1.22	0.62	9.5
1.3	1.2	1.4	2.2	0.92	9.5
1.5	1.4	1.6	0.35	0.35	9.5
1.7	1.6	1.8	-50	-50	9.5
1.9	1.8	2	0.37	0.37	9.5
2.1	2	2.2	0.42	0.43	9.5
2.3	2.2	2.4	0.38	0.39	9.5
2.5	2.4	2.6	-50	-50	9.5
2.7	2.6	2.8	-50	-50	9.5
2.9	2.8	3	-50	-50	9.5
3.1	3	3.2	-50	-50	9.5
3.3	3.2	3.4	-50	-50	9.5
0.1	0	0.2	2.09	2.12	10.5
0.3	0.2	0.4	1.23	0.88	10.5
0.5	0.4	0.6	0.42	0.42	10.5
0.7	0.6	0.8	0.32	0.33	10.5
0.9	0.8	1	0.26	0.27	10.5
1.1	1	1.2	0.71	0.42	10.5
1.3	1.2	1.4	0.31	0.31	10.5
1.5	1.4	1.6	0.36	0.36	10.5
1.7	1.6	1.8	-50	-50	10.5
1.9	1.8	2	0.61	0.46	10.5
2.1	2	2.2	-50	-50	10.5
2.3	2.2	2.4	-50	-50	10.5
2.5	2.4	2.6	-50	-50	10.5
2.7	2.6	2.8	-50	-50	10.5
2.9	2.8	3	-50	-50	10.5
3.1	3	3.2	-50	-50	10.5
3.3	3.2	3.4	-50	-50	10.5
