pT,pTLOW,pTHIGH,1/pTdsigma/dpT[nb/GeV^2],stat+,stat-,sys+,sys-
3.0,0.0,6.0,0.94,0.06,-0.06,0.03,-0.03
9.0,6.0,12.0,0.22,0.01,-0.01,0.007,-0.007
15.0,12.0,18.0,0.068,0.005,-0.005,0.002,-0.002
26.5,18.0,35.0,0.017,0.001,-0.001,0.0005,-0.0005
45.0,35.0,55.0,0.0039,0.0004,-0.0004,0.0001,-0.0001
77.5,55.0,100.0,0.0004,7e-05,-7e-05,1e-05,-1e-05
125.0,100.0,150.0,5e-05,1e-05,-1e-05,2e-06,-2e-06
225.0,150.0,300.0,8e-07,8e-07,-8e-07,2e-08,-2e-08
