pT,pTLOW,pTHIGH,1/pTdsigma/dpT[nb/GeV^2],stat+,stat-,sys+,sys-
3.0,0.0,6.0,1.2,0.05,-0.05,0.03,-0.03
9.0,6.0,12.0,0.24,0.01,-0.01,0.006,-0.006
15.0,12.0,18.0,0.083,0.005,-0.005,0.002,-0.002
26.5,18.0,35.0,0.021,0.001,-0.001,0.0005,-0.0005
45.0,35.0,55.0,0.0041,0.0003,-0.0003,0.0001,-0.0001
77.5,55.0,100.0,0.00055,6e-05,-6e-05,2e-05,-2e-05
125.0,100.0,150.0,6e-05,2e-05,-2e-05,3e-06,-3e-06
225.0,150.0,300.0,2e-06,1e-06,-1e-06,4e-08,-4e-08
