pt,CX,error,ylow,yhigh
0.47,0.0141,0.0032,-2.2,-1.2
1.47,0.00577,0.00174,-2.2,-1.2
2.47,0.00117,0.000669,-2.2,-1.2
3.47,0.000584,0.0002985,-2.2,-1.2
4.47,0.000179,0.000164,-2.2,-1.2
