pt,CX,error,ylow,yhigh
0.47,0.0126,0.00255,1.2,2.2
1.47,0.00594,0.00109,1.2,2.2
2.47,0.00274,0.00049,1.2,2.2
3.47,0.00103,0.0002515,1.2,2.2
4.47,0.000491,0.000094,1.2,2.2
