zlow    zup     bin     pTlow   pTup    C       Cstat   Csys    Fe      Festat  Fesys   Pb      Pbstat  Pbsys
     0.3     0.4       1   0.047   0.073   0.805    0.02   0.028   0.597   0.015   0.021   0.458   0.007   0.016
     0.3     0.4       2   0.073   0.112    0.78   0.013   0.027   0.628    0.01   0.022   0.468   0.004   0.016
     0.3     0.4       3   0.112   0.173   0.816   0.009   0.029   0.627   0.007   0.022   0.485   0.003   0.017
     0.3     0.4       4   0.173   0.267    0.82   0.007   0.029   0.654   0.006   0.023   0.515   0.003   0.018
     0.3     0.4       5   0.267   0.411   0.829   0.007   0.029   0.692   0.006   0.024   0.548   0.003   0.019
     0.3     0.4       6   0.411   0.633   0.954   0.009   0.043   0.863   0.008   0.039   0.715   0.004   0.032
     0.3     0.4       7   0.633   0.974   1.464   0.024   0.066   1.656   0.024   0.075   1.458   0.012   0.066
     0.3     0.4       8   0.974     1.5    3.19   0.175    0.16    4.74   0.226   0.237   4.695   0.114   0.235
     0.4     0.5       1   0.047   0.073   0.793   0.037   0.028   0.557   0.025   0.019   0.452   0.013   0.016
     0.4     0.5       2   0.073   0.112   0.748   0.022   0.026   0.583   0.018    0.02   0.408   0.007   0.014
     0.4     0.5       3   0.112   0.173   0.793   0.017   0.028   0.581   0.012    0.02    0.45   0.006   0.016
     0.4     0.5       4   0.173   0.267   0.772   0.012   0.027   0.595   0.009   0.021   0.446   0.004   0.016
     0.4     0.5       5   0.267   0.411   0.788    0.01   0.028   0.612   0.008   0.021    0.49   0.004   0.017
     0.4     0.5       6   0.411   0.633   0.848   0.011   0.038   0.699   0.009   0.031   0.545   0.004   0.025
     0.4     0.5       7   0.633   0.974   1.132   0.021   0.051   1.122   0.019   0.051   0.941   0.009   0.042
     0.4     0.5       8   0.974     1.5   2.262   0.107   0.113   2.893   0.113   0.145   2.808   0.061    0.14
     0.5     0.6       1   0.047   0.073   0.797   0.067   0.028   0.636   0.052   0.022   0.398   0.019   0.014
     0.5     0.6       2   0.073   0.112   0.704   0.036   0.025   0.544   0.028   0.019   0.387   0.012   0.014
     0.5     0.6       3   0.112   0.173   0.744   0.026   0.026   0.524   0.018   0.018   0.421   0.009   0.015
     0.5     0.6       4   0.173   0.267   0.779   0.019   0.027   0.553   0.014   0.019   0.429   0.006   0.015
     0.5     0.6       5   0.267   0.411   0.754   0.015   0.026   0.574   0.011    0.02   0.439   0.005   0.015
     0.5     0.6       6   0.411   0.633   0.815   0.016   0.037   0.672   0.012    0.03   0.511   0.006   0.023
     0.5     0.6       7   0.633   0.974   1.023   0.026   0.046   0.919   0.021   0.041   0.781   0.011   0.035
     0.5     0.6       8   0.974     1.5   1.981   0.102   0.099   2.183   0.099   0.109   1.832   0.047   0.092
     0.6     0.7       1   0.047   0.073   0.707   0.096   0.025   0.535   0.074   0.019   0.373   0.033   0.013
     0.6     0.7       2   0.073   0.112   0.708   0.054   0.025   0.463   0.033   0.016    0.35   0.016   0.012
     0.6     0.7       3   0.112   0.173    0.69   0.035   0.024   0.474   0.023   0.017   0.372   0.012   0.013
     0.6     0.7       4   0.173   0.267   0.764   0.028   0.027   0.524   0.019   0.018   0.408   0.009   0.014
     0.6     0.7       5   0.267   0.411   0.715   0.022   0.025   0.595   0.017   0.021   0.449   0.008   0.016
     0.6     0.7       6   0.411   0.633   0.822   0.023   0.037   0.629   0.017   0.028   0.521   0.009   0.023
     0.6     0.7       7   0.633   0.974   0.963   0.033   0.043   0.881   0.028    0.04   0.688   0.014   0.031
     0.6     0.7       8   0.974     1.5   1.864   0.129   0.093   2.068   0.125   0.103   1.926   0.067   0.096
     0.7     0.8       1   0.047   0.073   0.532   0.134   0.019   0.454   0.106   0.016   0.281   0.043    0.01
     0.7     0.8       2   0.073   0.112   0.529   0.053   0.019   0.398    0.04   0.014   0.314   0.021   0.011
     0.7     0.8       3   0.112   0.173   0.593   0.038   0.021   0.435   0.028   0.015   0.312   0.013   0.011
     0.7     0.8       4   0.173   0.267   0.631   0.033   0.022   0.514   0.026   0.018   0.357   0.012   0.013
     0.7     0.8       5   0.267   0.411   0.791   0.037   0.028   0.592   0.026   0.021   0.417   0.012   0.015
     0.7     0.8       6   0.411   0.633   0.783   0.034   0.035   0.674   0.027    0.03   0.462   0.013   0.021
     0.7     0.8       7   0.633   0.974   1.233   0.072   0.056   0.978   0.051   0.044   0.911   0.029   0.041
     0.7     0.8       8   0.974     1.5   2.305   0.259   0.115   2.781   0.281   0.139   2.377   0.129   0.119
