zlow,zup,bin,pTlow,pTup,C,Cstat,Csys,Fe,Festat,Fesys,Pb,Pbstat,Pbsys,QC,QFe,QPb,xC,xFe,xPb
0.6,0.7,5,0.267,0.411,0.793,0.008,0.028,0.597,0.006,0.028,0.421,0.003,0.028,1.66934,1.6581,1.66426,0.271985,0.271178,0.272016
0.6,0.7,6,0.411,0.633,0.825,0.01,0.037,0.642,0.007,0.037,0.472,0.003,0.037,1.63649,1.64086,1.63837,0.262763,0.264112,0.262932
0.6,0.7,7,0.633,0.974,0.947,0.016,0.043,0.775,0.012,0.043,0.606,0.006,0.043,1.6137,1.61425,1.61446,0.252284,0.254204,0.252525
0.6,0.7,8,0.974,1.5,1.747,0.071,0.087,1.928,0.068,0.087,1.654,0.034,0.087,1.58957,1.58683,1.56797,0.244394,0.245817,0.240124
0.7,0.8,1,0.047,0.073,0.707,0.015,0.025,0.503,0.011,0.025,0.347,0.005,0.025,1.66495,1.66228,1.66362,0.290863,0.291638,0.291419
0.7,0.8,2,0.073,0.112,0.717,0.014,0.025,0.482,0.009,0.025,0.362,0.005,0.025,1.65168,1.65115,1.6509,0.286064,0.286291,0.286415
0.7,0.8,3,0.112,0.173,0.73,0.011,0.026,0.518,0.008,0.026,0.356,0.004,0.026,1.62326,1.6185,1.62158,0.280047,0.27989,0.280156
0.7,0.8,4,0.173,0.267,0.725,0.01,0.025,0.527,0.007,0.025,0.387,0.003,0.025,1.60513,1.60025,1.60206,0.275306,0.27451,0.274689
0.7,0.8,5,0.267,0.411,0.777,0.01,0.027,0.577,0.007,0.027,0.407,0.003,0.027,1.63305,1.61573,1.61312,0.275621,0.273363,0.271968
0.7,0.8,6,0.411,0.633,0.743,0.011,0.033,0.565,0.008,0.033,0.417,0.004,0.033,1.62849,1.62712,1.6258,0.273612,0.273931,0.273529
0.7,0.8,7,0.633,0.974,0.948,0.021,0.043,0.806,0.017,0.043,0.557,0.008,0.043,1.571,1.5693,1.56146,0.255165,0.255375,0.252975
0.7,0.8,8,0.974,1.5,2.208,0.135,0.11,2.264,0.12,0.11,1.686,0.051,0.11,1.56305,1.56563,1.53477,0.246807,0.250978,0.243295
0.8,0.9,1,0.047,0.073,0.705,0.018,0.025,0.493,0.012,0.025,0.37,0.006,0.025,1.61727,1.59431,1.61094,0.285105,0.28167,0.282245
0.8,0.9,2,0.073,0.112,0.817,0.02,0.029,0.537,0.013,0.029,0.387,0.006,0.029,1.61955,1.60741,1.60076,0.281345,0.278974,0.276985
0.8,0.9,3,0.112,0.173,0.799,0.017,0.028,0.551,0.012,0.028,0.41,0.006,0.028,1.62122,1.61762,1.60523,0.279041,0.277656,0.273252
0.8,0.9,4,0.173,0.267,0.823,0.015,0.029,0.554,0.009,0.029,0.386,0.005,0.029,1.60735,1.6036,1.60223,0.278818,0.277507,0.276992
0.8,0.9,5,0.267,0.411,0.707,0.012,0.025,0.516,0.008,0.025,0.334,0.004,0.025,1.60688,1.60155,1.62095,0.277521,0.277634,0.281404
0.8,0.9,6,0.411,0.633,0.823,0.017,0.037,0.592,0.012,0.037,0.392,0.006,0.037,1.60162,1.58073,1.58096,0.265937,0.262558,0.260024
0.8,0.9,7,0.633,0.974,1.274,0.049,0.057,1.041,0.037,0.057,0.853,0.019,0.057,1.54612,1.52194,1.52149,0.244537,0.241153,0.236226
0.8,0.9,8,0.974,1.5,3.797,0.452,0.19,2.442,0.225,0.19,1.945,0.104,0.19,1.59751,1.52309,1.53688,0.252409,0.245994,0.246922
