target zbin ptlow pthigh mr err 
0 4 0.02 0.03079896 0.7928591966629028 0.04788913205265999
0 4 0.03079896 0.04742881 0.8186377882957458 0.030454076826572418
0 4 0.04742881 0.07303792 0.804649829864502 0.019766584038734436
0 4 0.07303792 0.11247461 0.7800731062889099 0.01257304847240448
0 4 0.11247461 0.17320508 0.815700113773346 0.009357349947094917
0 4 0.17320508 0.26672686 0.8200544714927673 0.007485741749405861
0 4 0.26672686 0.41074556 0.8292495012283325 0.006807866506278515
0 4 0.41074556 0.63252691 0.9540126919746399 0.00892870593816042
0 4 0.63252691 0.97405871 1.4635533094406128 0.02442118525505066
0 4 0.97405871 1.5 3.1900746822357178 0.17528903484344482
0 5 0.02 0.03079896 0.6899508237838745 0.10754169523715973
0 5 0.03079896 0.04742881 0.7674846649169922 0.056964050978422165
0 5 0.04742881 0.07303792 0.7932397723197937 0.03734259307384491
0 5 0.07303792 0.11247461 0.748296320438385 0.022458771243691444
0 5 0.11247461 0.17320508 0.7931249737739563 0.016752198338508606
0 5 0.17320508 0.26672686 0.7719683647155762 0.011886532418429852
0 5 0.26672686 0.41074556 0.7875000238418579 0.010050222277641296
0 5 0.41074556 0.63252691 0.8481959700584412 0.011140197515487671
0 5 0.63252691 0.97405871 1.1321300268173218 0.02095325104892254
0 5 0.97405871 1.5 2.261915922164917 0.10680311918258667
0 6 0.02 0.03079896 0.0 0.0
0 6 0.03079896 0.04742881 0.8834056854248047 0.156402125954628
0 6 0.04742881 0.07303792 0.7966042757034302 0.06684762239456177
0 6 0.07303792 0.11247461 0.7043989896774292 0.03568011149764061
0 6 0.11247461 0.17320508 0.7437450289726257 0.02610122039914131
0 6 0.17320508 0.26672686 0.7788457870483398 0.019462304189801216
0 6 0.26672686 0.41074556 0.7541166543960571 0.014875819906592369
0 6 0.41074556 0.63252691 0.8152503967285156 0.015532225370407104
0 6 0.63252691 0.97405871 1.0233451128005981 0.02562834322452545
0 6 0.97405871 1.5 1.9808804988861084 0.10183169692754745
0 7 0.02 0.03079896 0.0 0.0
0 7 0.03079896 0.04742881 0.0 0.0
0 7 0.04742881 0.07303792 0.7068371176719666 0.09643367677927017
0 7 0.07303792 0.11247461 0.7075979113578796 0.053965918719768524
0 7 0.11247461 0.17320508 0.6897581219673157 0.03450096398591995
0 7 0.17320508 0.26672686 0.7641512751579285 0.027576101943850517
0 7 0.26672686 0.41074556 0.7151354551315308 0.021644573658704758
0 7 0.41074556 0.63252691 0.8220942616462708 0.023363983258605003
0 7 0.63252691 0.97405871 0.9633591771125793 0.03278004750609398
0 7 0.97405871 1.5 1.8636096715927124 0.12920227646827698
0 8 0.02 0.03079896 0.0 0.0
0 8 0.03079896 0.04742881 0.0 0.0
0 8 0.04742881 0.07303792 0.532024621963501 0.1339760273694992
0 8 0.07303792 0.11247461 0.5287054777145386 0.053322967141866684
0 8 0.11247461 0.17320508 0.5933022499084473 0.038403209298849106
0 8 0.17320508 0.26672686 0.6311442255973816 0.032681725919246674
0 8 0.26672686 0.41074556 0.790531575679779 0.03684067353606224
0 8 0.41074556 0.63252691 0.7833646535873413 0.03430679440498352
0 8 0.63252691 0.97405871 1.2334232330322266 0.0722847729921341
0 8 0.97405871 1.5 2.304705858230591 0.2585779130458832
1 4 0.02 0.03079896 0.5988762378692627 0.03518475592136383
1 4 0.03079896 0.04742881 0.6061012148857117 0.021941734477877617
1 4 0.04742881 0.07303792 0.597453773021698 0.014637338928878307
1 4 0.07303792 0.11247461 0.6278411746025085 0.010049165226519108
1 4 0.11247461 0.17320508 0.6273618340492249 0.007146370131522417
1 4 0.17320508 0.26672686 0.6540523171424866 0.005931534338742495
1 4 0.26672686 0.41074556 0.6919397115707397 0.005603449419140816
1 4 0.41074556 0.63252691 0.8627170324325562 0.007656363304704428
1 4 0.63252691 0.97405871 1.6564264297485352 0.024477319791913033
1 4 0.97405871 1.5 4.740470886230469 0.22554665803909302
1 5 0.02 0.03079896 0.6115682721138 0.09716755151748657
1 5 0.03079896 0.04742881 0.5847277641296387 0.04232953116297722
1 5 0.04742881 0.07303792 0.5571224093437195 0.025133393704891205
1 5 0.07303792 0.11247461 0.5827587842941284 0.017539652064442635
1 5 0.11247461 0.17320508 0.5807958841323853 0.012239567004144192
1 5 0.17320508 0.26672686 0.594531774520874 0.009144262410700321
1 5 0.26672686 0.41074556 0.6121304631233215 0.007729900535196066
1 5 0.41074556 0.63252691 0.6987025737762451 0.00888785533607006
1 5 0.63252691 0.97405871 1.122497797012329 0.018986307084560394
1 5 0.97405871 1.5 2.893413782119751 0.11336547136306763
1 6 0.02 0.03079896 0.0 0.0
1 6 0.03079896 0.04742881 0.5201977491378784 0.08469346165657043
1 6 0.04742881 0.07303792 0.6364004015922546 0.0522102527320385
1 6 0.07303792 0.11247461 0.5441250801086426 0.027518343180418015
1 6 0.11247461 0.17320508 0.5237297415733337 0.018334316089749336
1 6 0.17320508 0.26672686 0.5525959134101868 0.013657717034220695
1 6 0.26672686 0.41074556 0.574461042881012 0.011145386844873428
1 6 0.41074556 0.63252691 0.6723640561103821 0.012314124032855034
1 6 0.63252691 0.97405871 0.9191187620162964 0.021168870851397514
1 6 0.97405871 1.5 2.1828203201293945 0.09865279495716095
1 7 0.02 0.03079896 0.0 0.0
1 7 0.03079896 0.04742881 0.0 0.0
