gamma	g3f	g3D	Nq1	gq1	dq1	Nq2	gq2	dq2	p_10	p_11	p_12	rep
0	0	0	0	0	0	0	0	0	0	1.35E-02	8.65E-03	165
0	0	0	0	0	0	0	0	0	0	1.70E-02	8.63E-03	166
0	0	0	0	0	0	0	0	0	0	1.63E-02	8.80E-03	167
0	0	0	0	0	0	0	0	0	0	1.56E-02	9.74E-03	168
0	0	0	0	0	0	0	0	0	0	1.27E-02	1.05E-02	169
0	0	0	0	0	0	0	0	0	0	2.14E-02	9.09E-03	170
0	0	0	0	0	0	0	0	0	0	1.92E-02	8.12E-03	171
0	0	0	0	0	0	0	0	0	0	1.76E-02	9.20E-03	172
0	0	0	0	0	0	0	0	0	0	1.60E-02	1.04E-02	173
0	0	0	0	0	0	0	0	0	0	1.45E-02	1.04E-02	174
0	0	0	0	0	0	0	0	0	0	1.74E-02	9.32E-03	175
0	0	0	0	0	0	0	0	0	0	1.53E-02	8.11E-03	176
0	0	0	0	0	0	0	0	0	0	1.65E-02	1.05E-02	177
0	0	0	0	0	0	0	0	0	0	1.68E-02	1.02E-02	178
0	0	0	0	0	0	0	0	0	0	1.88E-02	7.43E-03	179
0	0	0	0	0	0	0	0	0	0	1.49E-02	9.72E-03	180
0	0	0	0	0	0	0	0	0	0	1.97E-02	9.03E-03	181
0	0	0	0	0	0	0	0	0	0	1.30E-02	1.01E-02	182
0	0	0	0	0	0	0	0	0	0	1.41E-02	1.01E-02	183
0	0	0	0	0	0	0	0	0	0	1.60E-02	9.72E-03	184
0	0	0	0	0	0	0	0	0	0	1.60E-02	9.44E-03	185
0	0	0	0	0	0	0	0	0	0	1.79E-02	9.77E-03	186
0	0	0	0	0	0	0	0	0	0	1.82E-02	9.31E-03	187
0	0	0	0	0	0	0	0	0	0	1.19E-02	1.04E-02	188
0	0	0	0	0	0	0	0	0	0	1.89E-02	9.48E-03	189
0	0	0	0	0	0	0	0	0	0	1.74E-02	8.67E-03	190
