   0.30400E+00  -0.92103E+01   0.31039E-04  -0.32927E-04  -0.80384E-06   0.29825-312  -0.32646E-04   0.31320E-04  -0.80384E-06
   0.30400E+00  -0.89754E+01   0.39259E-04  -0.41648E-04  -0.10167E-05   0.47504-319  -0.41293E-04   0.39615E-04  -0.10167E-05
   0.30400E+00  -0.87404E+01   0.49657E-04  -0.52679E-04  -0.12860E-05   0.60088-319  -0.52229E-04   0.50107E-04  -0.12860E-05
   0.30400E+00  -0.85055E+01   0.62809E-04  -0.66632E-04  -0.16267E-05   0.76002-319  -0.66063E-04   0.63378E-04  -0.16267E-05
   0.30400E+00  -0.82705E+01   0.79445E-04  -0.84279E-04  -0.20575E-05   0.96135-319  -0.83560E-04   0.80164E-04  -0.20575E-05
   0.30400E+00  -0.80356E+01   0.10049E-03  -0.10660E-03  -0.26024E-05   0.12159-318  -0.10569E-03   0.10140E-03  -0.26024E-05
   0.30400E+00  -0.78006E+01   0.12710E-03  -0.13484E-03  -0.32917E-05   0.15380-318  -0.13368E-03   0.12825E-03  -0.32917E-05
   0.30400E+00  -0.75656E+01   0.16076E-03  -0.17055E-03  -0.41635E-05   0.19453-318  -0.16909E-03   0.16222E-03  -0.41635E-05
   0.30400E+00  -0.73307E+01   0.20334E-03  -0.21572E-03  -0.52662E-05   0.24606-318  -0.21388E-03   0.20518E-03  -0.52662E-05
   0.30400E+00  -0.70957E+01   0.25720E-03  -0.27285E-03  -0.66610E-05   0.31123-318  -0.27052E-03   0.25953E-03  -0.66610E-05
   0.30400E+00  -0.68608E+01   0.32532E-03  -0.34512E-03  -0.84252E-05   0.39366-318  -0.34217E-03   0.32827E-03  -0.84252E-05
   0.30400E+00  -0.66258E+01   0.41148E-03  -0.43652E-03  -0.10657E-04   0.49792-318  -0.43280E-03   0.41521E-03  -0.10657E-04
   0.30400E+00  -0.63908E+01   0.52047E-03  -0.55214E-03  -0.13479E-04   0.62980-318  -0.54742E-03   0.52518E-03  -0.13479E-04
   0.30400E+00  -0.61559E+01   0.65831E-03  -0.69837E-03  -0.17049E-04   0.79661-318  -0.69241E-03   0.66428E-03  -0.17049E-04
   0.30400E+00  -0.59209E+01   0.83267E-03  -0.88334E-03  -0.21565E-04   0.10076-317  -0.87580E-03   0.84021E-03  -0.21565E-04
   0.30400E+00  -0.56860E+01   0.10532E-02  -0.11173E-02  -0.27276E-04   0.12745-317  -0.11078E-02   0.10627E-02  -0.27276E-04
   0.30400E+00  -0.54510E+01   0.13482E-02  -0.14310E-02  -0.35342E-04   0.16120-317  -0.14189E-02   0.13603E-02  -0.35342E-04
   0.30400E+00  -0.52161E+01   0.17307E-02  -0.18383E-02  -0.46105E-04   0.20389-317  -0.18230E-02   0.17461E-02  -0.46105E-04
   0.30400E+00  -0.49811E+01   0.22223E-02  -0.23621E-02  -0.60208E-04   0.25790-317  -0.23427E-02   0.22417E-02  -0.60208E-04
