   0.14000E+00  -0.28195E+00   0.19094E+01   0.32517E+01   0.32224E+01   0.11622-314   0.34574E+01   0.19099E+01   0.24228E+01
   0.14000E+00  -0.46992E-01   0.20886E+01   0.38394E+01   0.36074E+01   0.14700-314   0.40902E+01   0.20893E+01   0.27457E+01
   0.14000E+00   0.18797E+00   0.22263E+01   0.44962E+01   0.39538E+01   0.18593-314   0.48012E+01   0.22261E+01   0.30611E+01
   0.14000E+00   0.42292E+00   0.22404E+01   0.51838E+01   0.41437E+01   0.23518-314   0.55533E+01   0.22403E+01   0.32942E+01
   0.14000E+00   0.65788E+00   0.25370E+01   0.62914E+01   0.47915E+01   0.29746-314   0.67496E+01   0.25370E+01   0.38658E+01
   0.14000E+00   0.89284E+00   0.32089E+01   0.79577E+01   0.60605E+01   0.37625-314   0.85372E+01   0.32089E+01   0.48897E+01
   0.14000E+00   0.11278E+01   0.40588E+01   0.10065E+02   0.76657E+01   0.47590-314   0.10798E+02   0.40588E+01   0.61847E+01
   0.14000E+00   0.13628E+01   0.51338E+01   0.12731E+02   0.96959E+01   0.60194-314   0.13658E+02   0.51338E+01   0.78228E+01
   0.14000E+00   0.15977E+01   0.64935E+01   0.16103E+02   0.12264E+02   0.76137-314   0.17276E+02   0.64935E+01   0.98947E+01
   0.14000E+00   0.18327E+01   0.82134E+01   0.20368E+02   0.15512E+02   0.96302-314   0.21851E+02   0.82133E+01   0.12515E+02
   0.14000E+00   0.20676E+01   0.10389E+02   0.25763E+02   0.19621E+02   0.12181-313   0.27639E+02   0.10389E+02   0.15830E+02
   0.14000E+00   0.23026E+01   0.13140E+02   0.32586E+02   0.24817E+02   0.15407-313   0.34959E+02   0.13140E+02   0.20023E+02
   0.20000E+00  -0.92103E+01   0.15645E-03   0.21745E-03   0.31753E-03   0.11353-318   0.24135E-03   0.15650E-03   0.17537E-03
   0.20000E+00  -0.89754E+01   0.19789E-03   0.27504E-03   0.40163E-03   0.14360-318   0.30527E-03   0.19795E-03   0.22181E-03
   0.20000E+00  -0.87404E+01   0.25031E-03   0.34788E-03   0.50801E-03   0.18162-318   0.38612E-03   0.25037E-03   0.28056E-03
   0.20000E+00  -0.85055E+01   0.31660E-03   0.44002E-03   0.64256E-03   0.22973-318   0.48839E-03   0.31669E-03   0.35487E-03
   0.20000E+00  -0.82705E+01   0.40045E-03   0.55656E-03   0.81274E-03   0.29057-318   0.61775E-03   0.40056E-03   0.44886E-03
   0.20000E+00  -0.80356E+01   0.50651E-03   0.70397E-03   0.10280E-02   0.36754-318   0.78136E-03   0.50665E-03   0.56774E-03
   0.20000E+00  -0.78006E+01   0.64067E-03   0.89042E-03   0.13003E-02   0.46488-318   0.98830E-03   0.64084E-03   0.71811E-03
   0.20000E+00  -0.75656E+01   0.81035E-03   0.11263E-02   0.16447E-02   0.58800-318   0.12501E-02   0.81057E-03   0.90831E-03
   0.20000E+00  -0.73307E+01   0.10250E-02   0.14245E-02   0.20803E-02   0.74374-318   0.15811E-02   0.10253E-02   0.11489E-02
   0.20000E+00  -0.70957E+01   0.12964E-02   0.18018E-02   0.26312E-02   0.94072-318   0.19999E-02   0.12968E-02   0.14532E-02
   0.20000E+00  -0.68608E+01   0.16398E-02   0.22791E-02   0.33281E-02   0.11899-317   0.25296E-02   0.16403E-02   0.18380E-02
   0.20000E+00  -0.66258E+01   0.20741E-02   0.28827E-02   0.42096E-02   0.15050-317   0.31996E-02   0.20747E-02   0.23249E-02
   0.20000E+00  -0.63908E+01   0.26235E-02   0.36462E-02   0.53245E-02   0.19036-317   0.40470E-02   0.26242E-02   0.29406E-02
   0.20000E+00  -0.61559E+01   0.33183E-02   0.46119E-02   0.67347E-02   0.24078-317   0.51189E-02   0.33192E-02   0.37194E-02
   0.20000E+00  -0.59209E+01   0.41972E-02   0.58334E-02   0.85185E-02   0.30455-317   0.64747E-02   0.41983E-02   0.47046E-02
   0.20000E+00  -0.56860E+01   0.53088E-02   0.73784E-02   0.10775E-01   0.38522-317   0.81895E-02   0.53103E-02   0.59506E-02
   0.20000E+00  -0.54510E+01   0.67971E-02   0.94344E-02   0.13766E-01   0.48724-317   0.10464E-01   0.67984E-02   0.76239E-02
   0.20000E+00  -0.52161E+01   0.87289E-02   0.12097E-01   0.17632E-01   0.61629-317   0.13403E-01   0.87307E-02   0.97992E-02
   0.20000E+00  -0.49811E+01   0.11210E-01   0.15512E-01   0.22586E-01   0.77952-317   0.17168E-01   0.11212E-01   0.12596E-01
   0.20000E+00  -0.47461E+01   0.14397E-01   0.19891E-01   0.28932E-01   0.98598-317   0.21996E-01   0.14396E-01   0.16192E-01
   0.20000E+00  -0.45112E+01   0.18493E-01   0.25511E-01   0.37063E-01   0.12471-316   0.28180E-01   0.18490E-01   0.20819E-01
   0.20000E+00  -0.42762E+01   0.23752E-01   0.32722E-01   0.47481E-01   0.15774-316   0.36104E-01   0.23750E-01   0.26771E-01
   0.20000E+00  -0.40413E+01   0.30505E-01   0.41966E-01   0.60832E-01   0.19952-316   0.46252E-01   0.30503E-01   0.34432E-01
   0.20000E+00  -0.38063E+01   0.39170E-01   0.53823E-01   0.77927E-01   0.25237-316   0.59247E-01   0.39170E-01   0.44277E-01
   0.20000E+00  -0.35714E+01   0.50284E-01   0.69029E-01   0.99808E-01   0.31921-316   0.75883E-01   0.50289E-01   0.56926E-01
   0.20000E+00  -0.33364E+01   0.64531E-01   0.88503E-01   0.12781E+00   0.40375-316   0.97170E-01   0.64541E-01   0.73193E-01
   0.20000E+00  -0.31014E+01   0.82790E-01   0.11343E+00   0.16361E+00   0.51069-316   0.12440E+00   0.82796E-01   0.94088E-01
   0.20000E+00  -0.28665E+01   0.10613E+00   0.14533E+00   0.20934E+00   0.64594-316   0.15917E+00   0.10614E+00   0.12088E+00
   0.20000E+00  -0.26315E+01   0.13593E+00   0.18608E+00   0.26768E+00   0.81703-316   0.20351E+00   0.13594E+00   0.15522E+00
