Bin,Z LOW,Z HIGH,<z> ,<Nu>,<Q2>,<pt2>,MULT
1,0.1,0.2,0.157,18.535,2.514,0.123,1.056
2,0.2,0.3,0.247,15.456,2.735,0.184,0.986
3,0.3,0.4,0.346,14.335,2.818,0.236,0.906
4,0.4,0.5,0.446,13.974,2.857,0.276,0.848
5,0.5,0.6,0.546,13.812,2.851,0.310,0.822
6,0.6,0.7,0.645,13.675,2.904,0.344,0.787
7,0.7,0.8,0.745,12.826,2.799,0.332,0.761
8,0.8,0.9,0.844,11.963,2.752,0.286,0.688
9,0.9,1.2,0.948,11.165,2.268,0.234,0.645
