NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.05,6.0,8.0,1.005,0.051,-0.051,0.03,-0.03
9.05,8.0,10.0,0.952,0.039,-0.039,0.028,-0.028
11.05,10.0,12.0,0.955,0.033,-0.033,0.028,-0.028
13.05,12.0,14.0,0.987,0.029,-0.029,0.029,-0.029
15.04,14.0,16.0,0.903,0.024,-0.024,0.026,-0.026
17.02,16.0,18.0,0.932,0.023,-0.023,0.027,-0.027
19.0,18.0,20.0,0.927,0.023,-0.023,0.027,-0.027
21.66,20.0,23.5,0.962,0.021,-0.021,0.028,-0.028
