Z,Z LOW,Z HIGH,"MULT(P=4,Q=XE)/MULT(P=4,Q=DEUT)",stat +,stat -,sys +,sys -
0.16,0.1,0.2,1.023,0.014,-0.014,0.034,-0.034
0.25,0.2,0.3,0.958,0.012,-0.012,0.029,-0.029
0.35,0.3,0.4,0.874,0.012,-0.012,0.025,-0.025
0.44,0.4,0.5,0.808,0.014,-0.014,0.023,-0.023
0.55,0.5,0.6,0.788,0.016,-0.016,0.022,-0.022
0.64,0.6,0.7,0.77,0.02,-0.02,0.022,-0.022
0.74,0.7,0.8,0.677,0.023,-0.023,0.02,-0.02
0.84,0.8,0.9,0.633,0.029,-0.029,0.018,-0.018
0.95,0.9,1.3,0.599,0.042,-0.042,0.017,-0.017
