#: table_doi: 10.17182/hepdata.13387.v1/t150
#: name: Table 150
#: description: Charged pion multiplicity ratio(Helium/Deuterium) as a function of Z for NU 12 TO 17 GeV.

#: data_file: Table150.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- HE --> E- PI- X | E- HE --> E- PI+ X | E+ HE --> E+ PI- X | E+ HE --> E+ PI+ X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: NU [GEV],,,12 TO 17
#: E(P=1) [GeV],,,27.6
#: RE(Q=HE),,,E+- HE --> E+- (PI+ + PI-) X
Z,Z LOW,Z HIGH,"MULT(P=3,Q=HE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.25,0.2,0.3,0.972,0.007,-0.007,0.034,-0.034
0.35,0.3,0.4,0.956,0.008,-0.008,0.032,-0.032
0.45,0.4,0.5,0.963,0.011,-0.011,0.03,-0.03
0.55,0.5,0.6,0.972,0.014,-0.014,0.029,-0.029
0.65,0.6,0.7,0.983,0.017,-0.017,0.029,-0.029
0.75,0.7,0.8,0.988,0.02,-0.02,0.032,-0.032
0.85,0.8,0.9,1.046,0.026,-0.026,0.047,-0.047
0.95,0.9,1.3,0.867,0.033,-0.033,0.035,-0.035

