NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.14,6.0,8.0,0.844,0.006,-0.006,0.031,-0.031
9.09,8.0,10.0,0.855,0.004,-0.004,0.032,-0.032
11.03,10.0,12.0,0.871,0.004,-0.004,0.032,-0.032
13.0,12.0,14.0,0.885,0.004,-0.004,0.033,-0.033
14.99,14.0,16.0,0.894,0.004,-0.004,0.032,-0.032
16.97,16.0,18.0,0.907,0.005,-0.005,0.032,-0.032
18.96,18.0,20.0,0.916,0.006,-0.006,0.03,-0.03
21.54,20.0,23.5,0.919,0.006,-0.006,0.028,-0.028
