#: table_doi: 10.17182/hepdata.13387.v1/t166
#: name: Table 166
#: description: Charged pion multiplicity ratio(Neon/Deuterium) as a function of PT**2 for NU 17 TO 23.5 GeV.

#: data_file: Table166.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- NE --> E- PI- X | E- NE --> E- PI+ X | E+ NE --> E+ PI- X | E+ NE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: NU [GEV],,,17 TO 23.5
#: E(P=1) [GeV],,,27.6
#: RE(Q=NE),,,E+- NE --> E+- (PI+ + PI-) X
PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.027,0.0,0.05,0.908,0.01,-0.01,0.026,-0.026
0.075,0.05,0.1,0.931,0.01,-0.01,0.028,-0.028
0.189,0.1,0.3,0.915,0.005,-0.005,0.032,-0.032
0.385,0.3,0.5,0.909,0.008,-0.008,0.027,-0.027
0.586,0.5,0.7,0.928,0.013,-0.013,0.027,-0.027
0.787,0.7,0.9,0.926,0.02,-0.02,0.027,-0.027
0.988,0.9,1.1,0.956,0.029,-0.029,0.027,-0.027
1.225,1.1,1.4,0.905,0.034,-0.034,0.026,-0.026
1.797,1.4,1.95,1.061,0.046,-0.046,0.031,-0.031

