#: table_doi: 10.17182/hepdata.13387.v1/t125
#: name: Table 125
#: description: Charged pion multiplicity ratio (Neon/Deuterium) as a function of Q**2 for Z 0.2 TO 0.4.

#: data_file: Table125.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- NE --> E- PI- X | E- NE --> E- PI+ X | E+ NE --> E+ PI- X | E+ NE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: Z,,,0.2 TO 0.4
#: E(P=1) [GeV],,,27.6
#: RE(Q=NE),,,E+- NE --> E+- (PI+ + PI-) X
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
1.35,1.0,1.5,0.884,0.004,-0.004,0.031,-0.031
1.88,1.5,2.0,0.9,0.005,-0.005,0.032,-0.032
2.65,2.0,3.0,0.902,0.005,-0.005,0.032,-0.032
3.73,3.0,4.0,0.904,0.006,-0.006,0.033,-0.033
4.77,4.0,5.0,0.922,0.008,-0.008,0.033,-0.033
5.82,5.0,6.0,0.931,0.011,-0.011,0.034,-0.034
7.18,6.0,8.0,0.949,0.012,-0.012,0.034,-0.034
9.81,8.0,25.0,0.944,0.019,-0.019,0.034,-0.034

