#: table_doi: 10.17182/hepdata.13387.v1/t191
#: name: Table 191
#: description: Charged pion multiplicity ratio (Neon/Deuterium) as a function of NU for PT**2 < 0.7 GeV**2.

#: data_file: Table191.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- NE --> E- PI- X | E- NE --> E- PI+ X | E+ NE --> E+ PI- X | E+ NE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: PT**2 [GEV**2],,,< 0.7
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: E(P=1) [GeV],,,27.6
#: RE(Q=NE),,,E+- NE --> E+- (PI+ + PI-) X
NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.14,6.0,8.0,0.844,0.006,-0.006,0.031,-0.031
9.09,8.0,10.0,0.855,0.004,-0.004,0.032,-0.032
11.03,10.0,12.0,0.871,0.004,-0.004,0.032,-0.032
13.0,12.0,14.0,0.885,0.004,-0.004,0.033,-0.033
14.99,14.0,16.0,0.894,0.004,-0.004,0.032,-0.032
16.97,16.0,18.0,0.907,0.005,-0.005,0.032,-0.032
18.96,18.0,20.0,0.916,0.006,-0.006,0.03,-0.03
21.54,20.0,23.5,0.919,0.006,-0.006,0.028,-0.028

