Bin,PT2 LOW,PT2 HIGH,<pt2>,<nu> ,<Q2>,<z>,MULT
1,0,0.05,0.023,13.146,2.673,0.343,0.728
2,0.05,0.10,0.073,14.509,2.653,0.352,0.762
3,0.10,0.30,0.186,15.318,2.620,0.349,0.796
4,0.30,0.50,0.384,16.044,2.681,0.367,0.800
5,0.50,0.70,0.582,16.860,2.685,0.405,0.811
6,0.70,0.90,0.787,17.318,2.588,0.433,0.855
7,0.90,1.10,0.984,17.930,2.609,0.471,0.924
8,1.10,1.40,1.229,17.769,2.830,0.478,0.913
9,1.40,1.95,1.614,18.350,2.489,0.506,0.878
