Z,Z LOW,Z HIGH,"MULT(P=4,Q=HE)/MULT(P=4,Q=DEUT)",stat +,stat -,sys +,sys -
0.19,0.1,0.2,1.046,0.054,-0.054,0.03,-0.03
0.25,0.2,0.3,1.004,0.016,-0.016,0.029,-0.029
0.35,0.3,0.4,0.975,0.015,-0.015,0.028,-0.028
0.45,0.4,0.5,1.025,0.018,-0.018,0.029,-0.029
0.55,0.5,0.6,0.949,0.023,-0.023,0.028,-0.028
0.64,0.6,0.7,0.982,0.032,-0.032,0.028,-0.028
0.74,0.7,0.8,0.983,0.047,-0.047,0.028,-0.028
0.84,0.8,0.9,0.924,0.071,-0.071,0.026,-0.026
0.96,0.9,1.3,1.129,0.125,-0.125,0.032,-0.032
