Z,Z LOW,Z HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.25,0.2,0.3,0.762,0.005,-0.005,0.032,-0.032
0.35,0.3,0.4,0.732,0.006,-0.006,0.027,-0.027
0.44,0.4,0.5,0.718,0.008,-0.008,0.023,-0.023
0.55,0.5,0.6,0.697,0.009,-0.009,0.022,-0.022
0.65,0.6,0.7,0.682,0.011,-0.011,0.022,-0.022
0.75,0.7,0.8,0.642,0.013,-0.013,0.024,-0.024
0.85,0.8,0.9,0.626,0.016,-0.016,0.038,-0.038
0.94,0.9,1.3,0.581,0.022,-0.022,0.031,-0.031
