Bin,Z LOW,Z HIGH,<z> ,<Nu>,<Q2>,<pt2>,MULT
1,0.1,0.2,0.156,18.646,2.493,0.115,0.883
2,0.2,0.3,0.245,15.707,2.686,0.174,0.823
3,0.3,0.4,0.344,14.717,2.720,0.227,0.783
4,0.4,0.5,0.444,14.398,2.633,0.265,0.760
5,0.5,0.6,0.544,14.244,2.548,0.298,0.709
6,0.6,0.7,0.643,14.538,2.572,0.330,0.673
7,0.7,0.8,0.740,13.826,2.501,0.332,0.637
8,0.8,0.9,0.841,13.309,2.512,0.226,0.632
9,0.9,1.2,0.949,12.885,2.381,0.140,0.670
