NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.23,6.0,8.0,0.643,0.01,-0.01,0.027,-0.027
9.12,8.0,10.0,0.681,0.007,-0.007,0.029,-0.029
11.04,10.0,12.0,0.712,0.006,-0.006,0.03,-0.03
13.02,12.0,14.0,0.74,0.006,-0.006,0.031,-0.031
15.01,14.0,16.0,0.753,0.006,-0.006,0.031,-0.031
17.0,16.0,18.0,0.776,0.006,-0.006,0.029,-0.029
18.97,18.0,20.0,0.791,0.007,-0.007,0.026,-0.026
21.57,20.0,23.5,0.839,0.008,-0.008,0.026,-0.026
