Z,Z LOW,Z HIGH,"MULT(P=3,Q=KR)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.25,0.2,0.3,0.763,0.005,-0.005,0.029,-0.029
0.35,0.3,0.4,0.738,0.005,-0.005,0.03,-0.03
0.45,0.4,0.5,0.706,0.006,-0.006,0.028,-0.028
0.55,0.5,0.6,0.701,0.007,-0.007,0.027,-0.027
0.65,0.6,0.7,0.669,0.008,-0.008,0.025,-0.025
0.75,0.7,0.8,0.636,0.009,-0.009,0.025,-0.025
0.85,0.8,0.9,0.606,0.01,-0.01,0.036,-0.036
0.96,0.9,1.3,0.54,0.01,-0.01,0.026,-0.026
