PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=KR)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.024,0.0,0.05,0.753,0.008,-0.008,0.024,-0.024
0.073,0.05,0.1,0.759,0.009,-0.009,0.024,-0.024
0.184,0.1,0.3,0.771,0.006,-0.006,0.024,-0.024
0.385,0.3,0.5,0.784,0.01,-0.01,0.025,-0.025
0.587,0.5,0.7,0.792,0.015,-0.015,0.025,-0.025
0.787,0.7,0.9,0.795,0.022,-0.022,0.025,-0.025
0.988,0.9,1.1,0.829,0.031,-0.031,0.026,-0.026
1.225,1.1,1.4,0.865,0.039,-0.039,0.026,-0.026
1.818,1.4,1.95,0.965,0.048,-0.048,0.03,-0.03
