PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=KR)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.023,0.0,0.05,0.749,0.004,-0.004,0.022,-0.022
0.073,0.05,0.1,0.771,0.006,-0.006,0.022,-0.022
0.181,0.1,0.3,0.774,0.004,-0.004,0.029,-0.029
0.382,0.3,0.5,0.778,0.007,-0.007,0.023,-0.023
0.583,0.5,0.7,0.823,0.012,-0.012,0.025,-0.025
0.785,0.7,0.9,0.851,0.02,-0.02,0.025,-0.025
0.987,0.9,1.1,0.895,0.031,-0.031,0.026,-0.026
1.225,1.1,1.4,0.891,0.039,-0.039,0.026,-0.026
1.739,1.4,1.95,1.064,0.058,-0.058,0.031,-0.031
