Bin,PT2 LOW,PT2 HIGH,<pt2>,<nu> ,<Q2>,<z>,MULT
1,0,0.05,0.023,13.071,2.647,0.388,0.727
2,0.05,0.10,0.073,14.110,2.691,0.398,0.763
3,0.10,0.30,0.182,15.358,2.687,0.392,0.765
4,0.30,0.50,0.383,16.312,2.694,0.401,0.796
5,0.50,0.70,0.585,16.791,2.707,0.428,0.835
6,0.70,0.90,0.786,17.118,2.692,0.460,0.871
7,0.90,1.10,0.987,17.285,2.719,0.488,0.886
8,1.10,1.40,12.224,17.585,2.697,0.520,0.978
9,1.40,1.95,1.607,17.948,2.646,0.591,1.072
