Z,Z LOW,Z HIGH,"MULT(P=4,Q=NE)/MULT(P=4,Q=DEUT)",stat +,stat -,sys +,sys -
0.16,0.1,0.2,0.97,0.01,-0.01,0.028,-0.028
0.25,0.2,0.3,0.961,0.009,-0.009,0.027,-0.027
0.35,0.3,0.4,0.961,0.01,-0.01,0.027,-0.027
0.45,0.4,0.5,0.923,0.012,-0.012,0.026,-0.026
0.55,0.5,0.6,0.902,0.014,-0.014,0.026,-0.026
0.64,0.6,0.7,0.925,0.017,-0.017,0.026,-0.026
0.75,0.7,0.8,0.886,0.021,-0.021,0.025,-0.025
0.84,0.8,0.9,0.858,0.027,-0.027,0.025,-0.025
0.94,0.9,1.3,0.722,0.036,-0.036,0.021,-0.021
