Bin,PT2 LOW,PT2 HIGH,<pt2>,<nu> ,<Q2>,<z>,MULT
1,0,0.05,0.023,13.049,2.694,0.388,0.739
2,0.05,0.10,0.073,14.106,2.773,0.399,0.743
3,0.10,0.30,0.182,15.212,2.751,0.400,0.771
4,0.30,0.50,0.384,16.061,2.779,0.419,0.796
5,0.50,0.70,0.585,16.575,2.802,0.455,0.833
6,0.70,0.90,0.787,16.755,2.800,0.489,0.877
7,0.90,1.10,0.987,17.155,2.766,0.522,0.895
8,1.10,1.40,1.226,17.381,2.836,0.544,0.918
9,1.40,1.95,1.606,17.664,2.819,0.596,1.240
