Z,Z LOW,Z HIGH,"MULT(P=3,Q=HE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.25,0.2,0.3,0.958,0.004,-0.004,0.033,-0.033
0.35,0.3,0.4,0.955,0.005,-0.005,0.032,-0.032
0.45,0.4,0.5,0.968,0.007,-0.007,0.032,-0.032
0.55,0.5,0.6,0.963,0.009,-0.009,0.032,-0.032
0.65,0.6,0.7,0.983,0.011,-0.011,0.032,-0.032
0.75,0.7,0.8,0.981,0.013,-0.013,0.034,-0.034
0.85,0.8,0.9,1.008,0.016,-0.016,0.046,-0.046
0.96,0.9,1.3,0.909,0.018,-0.018,0.035,-0.035
