#: table_doi: 10.17182/hepdata.13387.v1/t114
#: name: Table 114
#: description: Charged pion multiplicity ratio (Helium/Deuterium) as a function of NU for Z 0.4 TO 0.7.

#: data_file: Table114.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- HE --> E- PI- X | E- HE --> E- PI+ X | E+ HE --> E+ PI- X | E+ HE --> E+ PI+ X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: Z,,,0.4 TO 0.7
#: RE(Q=HE),,,E+- HE --> E+- (PI+ + PI-) X
#: E(P=1) [GeV],,,27.6
NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=HE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.09,6.0,8.0,0.963,0.014,-0.014,0.033,-0.033
9.05,8.0,10.0,0.967,0.012,-0.012,0.033,-0.033
11.02,10.0,12.0,0.961,0.011,-0.011,0.033,-0.033
12.99,12.0,14.0,0.975,0.011,-0.011,0.031,-0.031
14.98,14.0,16.0,0.959,0.012,-0.012,0.029,-0.029
16.95,16.0,18.0,0.978,0.014,-0.014,0.028,-0.028
18.94,18.0,20.0,0.973,0.017,-0.017,0.028,-0.028
21.47,20.0,23.5,0.969,0.02,-0.02,0.028,-0.028

