Z,Z LOW,Z HIGH,"MULT(P=4,Q=XE)/MULT(P=4,Q=DEUT)",stat +,stat -,sys +,sys -
0.16,0.1,0.2,0.836,0.005,-0.005,0.038,-0.038
0.25,0.2,0.3,0.765,0.005,-0.005,0.037,-0.037
0.34,0.3,0.4,0.726,0.005,-0.005,0.03,-0.03
0.44,0.4,0.5,0.706,0.007,-0.007,0.025,-0.025
0.55,0.5,0.6,0.693,0.009,-0.009,0.024,-0.024
0.64,0.6,0.7,0.672,0.01,-0.01,0.024,-0.024
0.75,0.7,0.8,0.634,0.012,-0.012,0.029,-0.029
0.85,0.8,0.9,0.597,0.015,-0.015,0.048,-0.048
0.95,0.9,1.3,0.536,0.017,-0.017,0.034,-0.034
