Z,Z LOW,Z HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.25,0.2,0.3,0.764,0.003,-0.003,0.031,-0.031
0.34,0.3,0.4,0.717,0.004,-0.004,0.028,-0.028
0.44,0.4,0.5,0.688,0.005,-0.005,0.026,-0.026
0.55,0.5,0.6,0.671,0.006,-0.006,0.025,-0.025
0.65,0.6,0.7,0.654,0.007,-0.007,0.026,-0.026
0.75,0.7,0.8,0.619,0.008,-0.008,0.027,-0.027
0.85,0.8,0.9,0.583,0.01,-0.01,0.038,-0.038
0.95,0.9,1.3,0.505,0.011,-0.011,0.027,-0.027
