PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.022,0.0,0.05,0.639,0.005,-0.005,0.019,-0.019
0.072,0.05,0.1,0.638,0.006,-0.006,0.02,-0.02
0.177,0.1,0.3,0.648,0.005,-0.005,0.026,-0.026
0.379,0.3,0.5,0.7,0.01,-0.01,0.022,-0.022
0.583,0.5,0.7,0.727,0.018,-0.018,0.022,-0.022
0.782,0.7,0.9,0.793,0.032,-0.032,0.024,-0.024
0.987,0.9,1.1,0.861,0.054,-0.054,0.025,-0.025
1.222,1.1,1.4,0.955,0.077,-0.077,0.029,-0.029
1.796,1.4,1.95,0.961,0.111,-0.111,0.03,-0.03
