PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=KR)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.027,0.0,0.05,0.795,0.009,-0.009,0.023,-0.023
0.074,0.05,0.1,0.825,0.009,-0.009,0.025,-0.025
0.188,0.1,0.3,0.835,0.005,-0.005,0.031,-0.031
0.385,0.3,0.5,0.853,0.008,-0.008,0.026,-0.026
0.586,0.5,0.7,0.883,0.012,-0.012,0.026,-0.026
0.787,0.7,0.9,0.908,0.02,-0.02,0.026,-0.026
0.989,0.9,1.1,0.91,0.028,-0.028,0.026,-0.026
1.228,1.1,1.4,0.985,0.036,-0.036,0.029,-0.029
1.803,1.4,1.95,1.171,0.05,-0.05,0.034,-0.034
