Bin,Z LOW,Z HIGH,<z> ,<Nu>,<Q2>,<pt2>,MULT
1,0.1,0.2,0.155,18.317,2.593,0.104,0.879
2,0.2,0.3,0.247,15.892,2.781,0.163,0.816
3,0.3,0.4,0.345,14.762,2.815,0.217,0.782
4,0.4,0.5,0.446,14.305,2.784,0.260,0.759
5,0.5,0.6,0.546,13.982,2.749,0.287,0.739
6,0.6,0.7,0.646,13.685,2.664,0.296,0.722
7,0.7,0.8,0.746,12.827,2.572,0.260,0.676
8,0.8,0.9,0.845,11.838,2.420,0.210,0.627
9,0.9,1.2,0.952,10.712,2.443,0.170,0.544
