Z,Z LOW,Z HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.25,0.2,0.3,0.904,0.004,-0.004,0.033,-0.033
0.35,0.3,0.4,0.891,0.005,-0.005,0.031,-0.031
0.45,0.4,0.5,0.882,0.007,-0.007,0.028,-0.028
0.55,0.5,0.6,0.888,0.009,-0.009,0.027,-0.027
0.65,0.6,0.7,0.89,0.011,-0.011,0.028,-0.028
0.75,0.7,0.8,0.896,0.013,-0.013,0.03,-0.03
0.85,0.8,0.9,0.899,0.016,-0.016,0.045,-0.045
0.94,0.9,1.3,0.823,0.022,-0.022,0.036,-0.036
