PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=HE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.023,0.0,0.05,0.974,0.01,-0.01,0.027,-0.027
0.074,0.05,0.1,0.973,0.011,-0.011,0.028,-0.028
0.183,0.1,0.3,0.976,0.008,-0.008,0.032,-0.032
0.386,0.3,0.5,0.953,0.012,-0.012,0.028,-0.028
0.588,0.5,0.7,0.948,0.018,-0.018,0.027,-0.027
0.789,0.7,0.9,0.964,0.026,-0.026,0.027,-0.027
0.988,0.9,1.1,0.944,0.036,-0.036,0.027,-0.027
1.225,1.1,1.4,0.953,0.044,-0.044,0.028,-0.028
1.781,1.4,1.95,0.984,0.055,-0.055,0.029,-0.029
