Z,Z LOW,Z HIGH,"MULT(P=4,Q=NE)/MULT(P=4,Q=DEUT)",stat +,stat -,sys +,sys -
0.16,0.1,0.2,0.933,0.013,-0.013,0.027,-0.027
0.25,0.2,0.3,0.904,0.012,-0.012,0.026,-0.026
0.35,0.3,0.4,0.874,0.014,-0.014,0.025,-0.025
0.44,0.4,0.5,0.876,0.018,-0.018,0.025,-0.025
0.54,0.5,0.6,0.873,0.024,-0.024,0.025,-0.025
0.64,0.6,0.7,0.761,0.031,-0.031,0.022,-0.022
0.74,0.7,0.8,0.792,0.049,-0.049,0.023,-0.023
0.84,0.8,0.9,0.7,0.076,-0.076,0.022,-0.022
0.94,0.9,1.3,0.483,0.099,-0.099,0.028,-0.028
