NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=KR)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.1,6.0,8.0,0.677,0.007,-0.007,0.026,-0.026
9.06,8.0,10.0,0.69,0.006,-0.006,0.027,-0.027
11.02,10.0,12.0,0.71,0.006,-0.006,0.026,-0.026
13.01,12.0,14.0,0.733,0.006,-0.006,0.024,-0.024
14.98,14.0,16.0,0.756,0.007,-0.007,0.023,-0.023
16.97,16.0,18.0,0.778,0.008,-0.008,0.023,-0.023
18.95,18.0,20.0,0.813,0.01,-0.01,0.024,-0.024
21.45,20.0,23.5,0.861,0.013,-0.013,0.026,-0.026
