#: table_doi: 10.17182/hepdata.13387.v1/t122
#: name: Table 122
#: description: Charged pion multiplicity ratio (Neon/Deuterium) as a function of NU for Z 0.2 TO 0.4.

#: data_file: Table122.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- NE --> E- PI- X | E- NE --> E- PI+ X | E+ NE --> E+ PI- X | E+ NE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: Z,,,0.2 TO 0.4
#: E(P=1) [GeV],,,27.6
#: RE(Q=NE),,,E+- NE --> E+- (PI+ + PI-) X
NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.23,6.0,8.0,0.847,0.009,-0.009,0.031,-0.031
9.11,8.0,10.0,0.862,0.006,-0.006,0.032,-0.032
11.04,10.0,12.0,0.875,0.005,-0.005,0.032,-0.032
13.01,12.0,14.0,0.89,0.005,-0.005,0.033,-0.033
15.0,14.0,16.0,0.897,0.005,-0.005,0.032,-0.032
16.99,16.0,18.0,0.906,0.006,-0.006,0.031,-0.031
18.98,18.0,20.0,0.913,0.006,-0.006,0.029,-0.029
21.58,20.0,23.5,0.922,0.007,-0.007,0.028,-0.028

