NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.11,6.0,8.0,0.539,0.013,-0.013,0.033,-0.033
9.06,8.0,10.0,0.536,0.011,-0.011,0.033,-0.033
11.01,10.0,12.0,0.566,0.011,-0.011,0.034,-0.034
12.99,12.0,14.0,0.595,0.012,-0.012,0.033,-0.033
14.94,14.0,16.0,0.661,0.016,-0.016,0.034,-0.034
16.9,16.0,18.0,0.656,0.021,-0.021,0.025,-0.025
18.8,18.0,20.0,0.713,0.038,-0.038,0.026,-0.026
20.49,20.0,23.5,0.808,0.115,-0.115,0.028,-0.028
