#: table_doi: 10.17182/hepdata.13387.v1/t185
#: name: Table 185
#: description: Charged pion multiplicity ratio (Helium/Deuterium) as a function of NU for PT**2 < 0.7 GeV**2.

#: data_file: Table185.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- HE --> E- PI- X | E- HE --> E- PI+ X | E+ HE --> E+ PI- X | E+ HE --> E+ PI+ X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: PT**2 [GEV**2],,,< 0.7
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: E(P=1) [GeV],,,27.6
#: RE(Q=HE),,,E+- HE --> E+- (PI+ + PI-) X
NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=HE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.14,6.0,8.0,0.968,0.009,-0.009,0.033,-0.033
9.08,8.0,10.0,0.948,0.007,-0.007,0.033,-0.033
11.02,10.0,12.0,0.954,0.006,-0.006,0.033,-0.033
13.0,12.0,14.0,0.963,0.006,-0.006,0.033,-0.033
14.98,14.0,16.0,0.969,0.006,-0.006,0.033,-0.033
16.96,16.0,18.0,0.97,0.007,-0.007,0.032,-0.032
18.96,18.0,20.0,0.961,0.008,-0.008,0.03,-0.03
21.55,20.0,23.5,0.966,0.01,-0.01,0.029,-0.029

