#: table_doi: 10.17182/hepdata.13387.v1/t181
#: name: Table 181
#: description: Charged pion multiplicity ratio(Xenon/Deuterium) as a function of Q**2 for NU 17 TO 23.5 GeV.

#: data_file: Table181.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- XE --> E- PI- X | E- XE --> E- PI+ X | E+ XE --> E+ PI- X | E+ XE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: NU [GEV],,,17 TO 23.5
#: E(P=1) [GeV],,,27.6
#: RE(Q=XE),,,E+- XE --> E+- (PI+ + PI-) X
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
1.23,1.0,1.5,0.802,0.007,-0.007,0.023,-0.023
1.72,1.5,2.0,0.808,0.008,-0.008,0.025,-0.025
2.44,2.0,3.0,0.804,0.007,-0.007,0.025,-0.025
3.46,3.0,4.0,0.822,0.01,-0.01,0.025,-0.025
4.46,4.0,5.0,0.821,0.014,-0.014,0.025,-0.025
5.46,5.0,6.0,0.801,0.019,-0.019,0.025,-0.025
6.8,6.0,8.0,0.82,0.021,-0.021,0.025,-0.025
9.13,8.0,25.0,0.707,0.034,-0.034,0.023,-0.023

