#: table_doi: 10.17182/hepdata.13387.v1/t193
#: name: Table 193
#: description: Charged pion multiplicity ratio (Neon/Deuterium) as a function of Z for PT**2 < 0.7 GeV**2.

#: data_file: Table193.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- NE --> E- PI- X | E- NE --> E- PI+ X | E+ NE --> E+ PI- X | E+ NE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: PT**2 [GEV**2],,,< 0.7
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: E(P=1) [GeV],,,27.6
#: RE(Q=NE),,,E+- NE --> E+- (PI+ + PI-) X
Z,Z LOW,Z HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.25,0.2,0.3,0.9,0.003,-0.003,0.033,-0.033
0.34,0.3,0.4,0.884,0.003,-0.003,0.031,-0.031
0.44,0.4,0.5,0.881,0.004,-0.004,0.03,-0.03
0.55,0.5,0.6,0.882,0.005,-0.005,0.03,-0.03
0.65,0.6,0.7,0.879,0.007,-0.007,0.031,-0.031
0.75,0.7,0.8,0.881,0.008,-0.008,0.033,-0.033
0.85,0.8,0.9,0.867,0.01,-0.01,0.046,-0.046
0.95,0.9,1.3,0.784,0.011,-0.011,0.034,-0.034

