Z,Z LOW,Z HIGH,"MULT(P=4,Q=NE)/MULT(P=4,Q=DEUT)",stat +,stat -,sys +,sys -
0.16,0.1,0.2,0.898,0.004,-0.004,0.036,-0.036
0.25,0.2,0.3,0.889,0.004,-0.004,0.036,-0.036
0.34,0.3,0.4,0.881,0.005,-0.005,0.033,-0.033
0.45,0.4,0.5,0.883,0.006,-0.006,0.029,-0.029
0.55,0.5,0.6,0.879,0.008,-0.008,0.028,-0.028
0.65,0.6,0.7,0.879,0.01,-0.01,0.029,-0.029
0.75,0.7,0.8,0.876,0.012,-0.012,0.034,-0.034
0.85,0.8,0.9,0.877,0.015,-0.015,0.056,-0.056
0.95,0.9,1.3,0.787,0.017,-0.017,0.041,-0.041
