#: table_doi: 10.17182/hepdata.13387.v1/t225
#: name: Table 225
#: description: Charged pion multiplicity ratio (Xenon/Deuterium) as a function of the formation Length Lc (see text of paper). for NU 17 TO 20 GeV.

#: data_file: Table225.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- XE --> E- PI- X | E- XE --> E- PI+ X | E+ XE --> E+ PI- X | E+ XE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),E+- DEUT --> E+- (PI+ + PI-) X
#: NU [GEV],17 TO 20
#: E(P=1) [GeV],27.6
#: RE(Q=XE),E+- XE --> E+- (PI+ + PI-) X
NU*(1-Z)*Z**0.35 [FM],"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
8.52,0.797,0.007,-0.007,0.025,-0.025
8.32,0.773,0.01,-0.01,0.012,-0.012
7.7,0.76,0.014,-0.014,0.012,-0.012
6.76,0.736,0.017,-0.017,0.012,-0.012
5.62,0.728,0.022,-0.022,0.015,-0.015
4.25,0.677,0.027,-0.027,0.022,-0.022
2.9,0.741,0.063,-0.063,0.046,-0.046

