NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.1,6.0,8.0,0.872,0.056,-0.056,0.026,-0.026
9.08,8.0,10.0,0.858,0.046,-0.046,0.026,-0.026
11.1,10.0,12.0,0.809,0.037,-0.037,0.023,-0.023
13.06,12.0,14.0,0.896,0.034,-0.034,0.026,-0.026
15.04,14.0,16.0,0.884,0.029,-0.029,0.026,-0.026
17.02,16.0,18.0,0.871,0.027,-0.027,0.025,-0.025
19.02,18.0,20.0,0.916,0.03,-0.03,0.027,-0.027
21.68,20.0,23.5,0.948,0.027,-0.027,0.027,-0.027
