Z,Z LOW,Z HIGH,"MULT(P=3,Q=NE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.17,0.1,0.2,0.924,0.014,-0.014,0.032,-0.032
0.25,0.2,0.3,0.924,0.009,-0.009,0.031,-0.031
0.35,0.3,0.4,0.9,0.009,-0.009,0.03,-0.03
0.45,0.4,0.5,0.897,0.01,-0.01,0.029,-0.029
0.55,0.5,0.6,0.891,0.012,-0.012,0.028,-0.028
0.64,0.6,0.7,0.908,0.015,-0.015,0.028,-0.028
0.74,0.7,0.8,0.901,0.02,-0.02,0.027,-0.027
0.84,0.8,0.9,0.846,0.026,-0.026,0.025,-0.025
0.96,0.9,1.3,0.791,0.035,-0.035,0.023,-0.023
