NU [GEV],NU [GEV] LOW,NU [GEV] HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
7.09,6.0,8.0,0.625,0.009,-0.009,0.025,-0.025
9.06,8.0,10.0,0.626,0.008,-0.008,0.026,-0.026
11.03,10.0,12.0,0.652,0.007,-0.007,0.025,-0.025
13.0,12.0,14.0,0.684,0.008,-0.008,0.023,-0.023
14.99,14.0,16.0,0.714,0.009,-0.009,0.022,-0.022
16.96,16.0,18.0,0.736,0.01,-0.01,0.023,-0.023
18.94,18.0,20.0,0.751,0.012,-0.012,0.023,-0.023
21.46,20.0,23.5,0.796,0.016,-0.016,0.024,-0.024
