bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,2.20,3.20,1.76,4.20,0.836,0.01396,0.6163,0.009146,0.4536,0.00944
2,0.05,0.10,2.20,3.20,1.76,4.20,0.8192,0.02148,0.6118,0.0143,0.4347,0.01418
3,0.10,0.15,2.20,3.20,1.76,4.20,0.7754,0.02618,0.6369,0.02063,0.4543,0.01872
4,0.15,0.20,2.20,3.20,1.76,4.20,0.8288,0.02617,0.6364,0.01798,0.4594,0.01757
5,0.20,0.25,2.20,3.20,1.76,4.20,0.8234,0.02619,0.6437,0.01921,0.4381,0.01789
6,0.25,0.30,2.20,3.20,1.76,4.20,0.8053,0.02582,0.6012,0.01737,0.484,0.01878
7,0.30,0.35,2.20,3.20,1.76,4.20,0.7884,0.02684,0.6112,0.01873,0.4679,0.01978
8,0.35,0.40,2.20,3.20,1.76,4.20,0.7906,0.02869,0.6347,0.01996,0.4977,0.02134
9,0.40,0.45,2.20,3.20,1.76,4.20,0.8851,0.03475,0.6919,0.02384,0.536,0.02488
10,0.45,0.50,2.20,3.20,1.76,4.20,0.8553,0.03797,0.7203,0.02739,0.5606,0.02891
11,0.50,0.55,2.20,3.20,1.76,4.20,0.9532,0.04767,0.7724,0.03267,0.6587,0.03771
12,0.55,0.60,2.20,3.20,1.76,4.20,1.028,0.05777,0.872,0.04179,0.6711,0.04409
13,0.60,0.65,2.20,3.20,1.76,4.20,1.069,0.07087,0.9281,0.04974,0.7153,0.05339
14,0.65,0.70,2.20,3.20,1.76,4.20,0.988,0.07649,1.079,0.06675,0.8859,0.07491
15,0.70,0.75,2.20,3.20,1.76,4.20,1.438,0.1305,1.362,0.09703,1.026,0.09928
16,0.75,0.80,2.20,3.20,1.76,4.20,1.685,0.1799,1.691,0.1424,1.755,0.1896
17,0.80,0.85,2.20,3.20,1.76,4.20,2.015,0.2678,2.369,0.2471,2.156,0.2792
18,0.85,0.90,2.20,3.20,1.76,4.20,2.275,0.36,2.878,0.353,2.425,0.3697
19,0.90,0.95,2.20,3.20,1.76,4.20,2.875,0.5829,4.173,0.6363,2.808,0.477
20,0.95,1.00,2.20,3.20,1.76,4.20,3.62,0.8526,4.416,0.7773,3.756,0.7952
21,1.00,1.20,2.20,3.20,1.76,4.20,3.503,0.5319,4.96,0.5463,4.916,0.6399
22,1.20,2.00,2.20,3.20,1.76,4.20,3.76,0.723,4.287,0.512,3.993,0.5567
