bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,3.20,3.73,1.33,1.76,0.8323,0.01773,0.5958,0.0112,0.4504,0.01164
2,0.05,0.10,3.20,3.73,1.33,1.76,0.6841,0.1181,0.4445,0.1224,0.3889,0.04648
3,0.10,0.15,3.20,3.73,1.33,1.76,0.7334,0.07706,0.5882,0.05391,0.4541,0.06085
4,0.15,0.20,3.20,3.73,1.33,1.76,0.794,0.02675,0.6217,0.02099,0.468,0.01959
5,0.20,0.25,3.20,3.73,1.33,1.76,0.8553,0.0244,0.6391,0.01681,0.4924,0.01649
6,0.25,0.30,3.20,3.73,1.33,1.76,0.845,0.02482,0.6277,0.01646,0.4871,0.0167
7,0.30,0.35,3.20,3.73,1.33,1.76,0.8289,0.02598,0.6508,0.01806,0.5036,0.01832
8,0.35,0.40,3.20,3.73,1.33,1.76,0.933,0.03125,0.7098,0.02111,0.5607,0.02138
9,0.40,0.45,3.20,3.73,1.33,1.76,0.8547,0.03122,0.6689,0.02184,0.5433,0.02301
10,0.45,0.50,3.20,3.73,1.33,1.76,0.9203,0.03715,0.6643,0.02355,0.5628,0.02591
11,0.50,0.55,3.20,3.73,1.33,1.76,0.9506,0.0424,0.7483,0.02914,0.5927,0.02983
12,0.55,0.60,3.20,3.73,1.33,1.76,0.9054,0.04517,0.7459,0.03199,0.6059,0.03292
13,0.60,0.65,3.20,3.73,1.33,1.76,0.8169,0.04517,0.792,0.03757,0.615,0.03715
14,0.65,0.70,3.20,3.73,1.33,1.76,1.035,0.06606,0.7379,0.03929,0.6502,0.04471
15,0.70,0.75,3.20,3.73,1.33,1.76,1.088,0.07861,0.8885,0.05264,0.6735,0.0517
16,0.75,0.80,3.20,3.73,1.33,1.76,0.9767,0.07898,0.9372,0.06191,0.735,0.06241
17,0.80,0.85,3.20,3.73,1.33,1.76,1.153,0.1029,1.2,0.08858,0.8829,0.08638
18,0.85,0.90,3.20,3.73,1.33,1.76,1.487,0.1543,1.31,0.1106,1.02,0.1061
19,0.90,0.95,3.20,3.73,1.33,1.76,1.33,0.1631,1.472,0.1371,1.251,0.1545
20,0.95,1.00,3.20,3.73,1.33,1.76,1.318,0.1821,1.421,0.1532,1.089,0.1472
21,1.00,1.20,3.20,3.73,1.33,1.76,1.935,0.1875,2.205,0.1582,1.973,0.1713
22,1.20,2.00,3.20,3.73,1.33,1.76,2.212,0.2687,3.626,0.3098,2.845,0.2799
