bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,3.73,4.30,1.76,4.20,0.8517,0.02212,0.6073,0.01467,0.4648,0.01599
2,0.05,0.10,3.73,4.30,1.76,4.20,0.6175,0.2,0.6066,0.01148,0.4625,0.01191
3,0.10,0.15,3.73,4.30,1.76,4.20,0.8684,0.1003,0.6047,0.07584,0.6314,0.125
4,0.15,0.20,3.73,4.30,1.76,4.20,0.8448,0.03846,0.6396,0.02562,0.4768,0.02389
5,0.20,0.25,3.73,4.30,1.76,4.20,0.8569,0.02577,0.6588,0.01884,0.4963,0.01887
6,0.25,0.30,3.73,4.30,1.76,4.20,0.8731,0.02499,0.6614,0.01736,0.5089,0.0179
7,0.30,0.35,3.73,4.30,1.76,4.20,0.8535,0.02458,0.7021,0.01872,0.5298,0.01913
8,0.35,0.40,3.73,4.30,1.76,4.20,0.8605,0.02634,0.6893,0.01907,0.5516,0.02016
9,0.40,0.45,3.73,4.30,1.76,4.20,0.9241,0.03052,0.694,0.02083,0.5407,0.02209
10,0.45,0.50,3.73,4.30,1.76,4.20,0.8621,0.03153,0.7461,0.02414,0.6106,0.02611
11,0.50,0.55,3.73,4.30,1.76,4.20,0.9478,0.03795,0.7719,0.02747,0.5963,0.02858
12,0.55,0.60,3.73,4.30,1.76,4.20,0.9316,0.04075,0.7941,0.03127,0.5952,0.0318
13,0.60,0.65,3.73,4.30,1.76,4.20,0.9902,0.04901,0.8347,0.03607,0.6258,0.03654
14,0.65,0.70,3.73,4.30,1.76,4.20,1.023,0.05571,0.8169,0.03954,0.6772,0.04282
15,0.70,0.75,3.73,4.30,1.76,4.20,0.9768,0.061,0.913,0.04963,0.736,0.05429
16,0.75,0.80,3.73,4.30,1.76,4.20,1.077,0.07777,0.9047,0.05417,0.8133,0.06503
17,0.80,0.85,3.73,4.30,1.76,4.20,0.9911,0.08095,1.042,0.07196,0.9814,0.09016
18,0.85,0.90,3.73,4.30,1.76,4.20,1.157,0.1046,1.22,0.09536,1.073,0.105
19,0.90,0.95,3.73,4.30,1.76,4.20,1.379,0.1502,1.392,0.1237,1.623,0.1772
20,0.95,1.00,3.73,4.30,1.76,4.20,1.392,0.174,1.592,0.1596,1.218,0.1521
21,1.00,1.20,3.73,4.30,1.76,4.20,1.63,0.1379,1.971,0.1355,2.254,0.1842
22,1.20,2.00,3.73,4.30,1.76,4.20,3.068,0.347,4.752,0.419,3.799,0.3741
