bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,3.73,4.30,1.33,1.76,0.7999,0.04861,0.602,0.03402,0.4534,0.03208
2,0.05,0.10,3.73,4.30,1.33,1.76,0.8065,0.01963,0.6134,0.01365,0.4495,0.01333
3,0.10,0.15,3.73,4.30,1.33,1.76,0.8912,0.0673,0.6681,0.05604,0.4423,0.04699
4,0.15,0.20,3.73,4.30,1.33,1.76,0.8311,0.03123,0.6447,0.02314,0.4928,0.02255
5,0.20,0.25,3.73,4.30,1.33,1.76,0.9323,0.02907,0.6484,0.01856,0.515,0.01949
6,0.25,0.30,3.73,4.30,1.33,1.76,0.9029,0.02797,0.6626,0.01892,0.5016,0.01861
7,0.30,0.35,3.73,4.30,1.33,1.76,0.8968,0.02953,0.6486,0.01934,0.5558,0.02167
8,0.35,0.40,3.73,4.30,1.33,1.76,0.9005,0.03217,0.6773,0.02178,0.5125,0.02189
9,0.40,0.45,3.73,4.30,1.33,1.76,0.9379,0.03649,0.7136,0.0253,0.5833,0.02623
10,0.45,0.50,3.73,4.30,1.33,1.76,0.8936,0.03845,0.707,0.02715,0.637,0.03159
11,0.50,0.55,3.73,4.30,1.33,1.76,0.8617,0.04005,0.7031,0.02929,0.5949,0.03264
12,0.55,0.60,3.73,4.30,1.33,1.76,0.9538,0.04982,0.805,0.03736,0.6123,0.03674
13,0.60,0.65,3.73,4.30,1.33,1.76,0.9454,0.05565,0.7989,0.04133,0.6995,0.04515
14,0.65,0.70,3.73,4.30,1.33,1.76,0.9767,0.06393,0.8638,0.0495,0.6429,0.04821
15,0.70,0.75,3.73,4.30,1.33,1.76,0.9955,0.07099,0.821,0.05186,0.7126,0.05808
16,0.75,0.80,3.73,4.30,1.33,1.76,1.157,0.09502,0.8963,0.0631,0.8535,0.07628
17,0.80,0.85,3.73,4.30,1.33,1.76,1.08,0.1042,1.025,0.0792,0.8184,0.08464
18,0.85,0.90,3.73,4.30,1.33,1.76,0.9628,0.09965,0.9709,0.08427,0.9874,0.1075
19,0.90,0.95,3.73,4.30,1.33,1.76,1.161,0.1384,1.199,0.118,1.21,0.1455
20,0.95,1.00,3.73,4.30,1.33,1.76,1.615,0.2103,1.322,0.1377,1.205,0.1626
21,1.00,1.20,3.73,4.30,1.33,1.76,1.259,0.1091,1.587,0.1135,1.5,0.1296
22,1.20,2.00,3.73,4.30,1.33,1.76,2.09,0.2438,2.881,0.2378,2.319,0.2177
