bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,3.20,3.73,1.00,1.33,0.8282,0.02341,0.5872,0.01455,0.442,0.01484
2,0.05,0.10,3.20,3.73,1.00,1.33,0.8191,0.01795,0.5782,0.01143,0.421,0.01092
3,0.10,0.15,3.20,3.73,1.00,1.33,0.7466,0.04317,0.6319,0.03818,0.4754,0.03433
4,0.15,0.20,3.20,3.73,1.00,1.33,0.8699,0.02687,0.6037,0.01679,0.4559,0.01613
5,0.20,0.25,3.20,3.73,1.00,1.33,0.8452,0.02402,0.5947,0.01552,0.4626,0.01522
6,0.25,0.30,3.20,3.73,1.00,1.33,0.848,0.02568,0.6378,0.0174,0.5067,0.01768
7,0.30,0.35,3.20,3.73,1.00,1.33,0.86,0.02799,0.632,0.01876,0.5132,0.0189
8,0.35,0.40,3.20,3.73,1.00,1.33,0.8597,0.02981,0.6837,0.02109,0.4967,0.01973
9,0.40,0.45,3.20,3.73,1.00,1.33,0.8533,0.03306,0.6582,0.02265,0.5016,0.02223
10,0.45,0.50,3.20,3.73,1.00,1.33,0.8818,0.03725,0.6965,0.02614,0.584,0.02798
11,0.50,0.55,3.20,3.73,1.00,1.33,0.9948,0.04735,0.6846,0.02796,0.5608,0.02975
12,0.55,0.60,3.20,3.73,1.00,1.33,0.9071,0.04763,0.7835,0.03493,0.5832,0.03418
13,0.60,0.65,3.20,3.73,1.00,1.33,0.8916,0.05028,0.699,0.03415,0.6003,0.0391
14,0.65,0.70,3.20,3.73,1.00,1.33,1.099,0.07231,0.8129,0.04421,0.646,0.04399
15,0.70,0.75,3.20,3.73,1.00,1.33,0.9969,0.07032,0.8483,0.05115,0.6493,0.05061
16,0.75,0.80,3.20,3.73,1.00,1.33,0.9086,0.07321,0.903,0.05956,0.7717,0.06464
17,0.80,0.85,3.20,3.73,1.00,1.33,1.045,0.09272,0.8825,0.0659,0.7132,0.07049
18,0.85,0.90,3.20,3.73,1.00,1.33,1.275,0.1326,1.304,0.1111,0.9193,0.09776
19,0.90,0.95,3.20,3.73,1.00,1.33,1.088,0.1266,1.323,0.1223,1.174,0.1341
20,0.95,1.00,3.20,3.73,1.00,1.33,1.46,0.1922,1.177,0.1222,1.022,0.1354
21,1.00,1.20,3.20,3.73,1.00,1.33,1.455,0.1286,1.699,0.1154,1.719,0.1412
22,1.20,2.00,3.20,3.73,1.00,1.33,2.484,0.2946,3.845,0.3259,3.385,0.3231
