bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,2.20,3.20,1.33,1.76,0.825,0.01127,0.5918,0.00703,0.4394,0.007151
2,0.05,0.10,2.20,3.20,1.33,1.76,0.8079,0.01993,0.5905,0.01305,0.4298,0.01278
3,0.10,0.15,2.20,3.20,1.33,1.76,0.8451,0.02377,0.61,0.01584,0.4748,0.01674
4,0.15,0.20,2.20,3.20,1.33,1.76,0.789,0.01915,0.5769,0.01245,0.4493,0.01248
5,0.20,0.25,2.20,3.20,1.33,1.76,0.8041,0.01825,0.6196,0.01258,0.448,0.012
6,0.25,0.30,2.20,3.20,1.33,1.76,0.8179,0.02002,0.6302,0.01354,0.4566,0.01297
7,0.30,0.35,2.20,3.20,1.33,1.76,0.8162,0.02083,0.6167,0.01373,0.4678,0.01391
8,0.35,0.40,2.20,3.20,1.33,1.76,0.8327,0.02272,0.6476,0.01529,0.4879,0.01542
9,0.40,0.45,2.20,3.20,1.33,1.76,0.8333,0.02501,0.6327,0.01628,0.4977,0.01705
10,0.45,0.50,2.20,3.20,1.33,1.76,0.8684,0.02877,0.6941,0.01964,0.5374,0.02013
11,0.50,0.55,2.20,3.20,1.33,1.76,0.994,0.03684,0.749,0.02356,0.58,0.02496
12,0.55,0.60,2.20,3.20,1.33,1.76,0.9038,0.03886,0.8204,0.02897,0.6409,0.03011
13,0.60,0.65,2.20,3.20,1.33,1.76,1.006,0.04863,0.907,0.03598,0.7157,0.03816
14,0.65,0.70,2.20,3.20,1.33,1.76,1.134,0.06403,0.9645,0.04334,0.7712,0.04705
15,0.70,0.75,2.20,3.20,1.33,1.76,1.266,0.08306,1.113,0.05793,0.9642,0.0667
16,0.75,0.80,2.20,3.20,1.33,1.76,1.589,0.1221,1.37,0.08187,1.2,0.09178
17,0.80,0.85,2.20,3.20,1.33,1.76,1.753,0.1691,1.682,0.1198,1.203,0.1097
18,0.85,0.90,2.20,3.20,1.33,1.76,2.029,0.228,2.438,0.2084,1.706,0.1732
19,0.90,0.95,2.20,3.20,1.33,1.76,1.988,0.2532,2.35,0.2154,2.024,0.235
20,0.95,1.00,2.20,3.20,1.33,1.76,3.29,0.5227,2.681,0.3075,2.731,0.3732
21,1.00,1.20,2.20,3.20,1.33,1.76,3.415,0.3829,4.307,0.3483,3.13,0.2871
22,1.20,2.00,2.20,3.20,1.33,1.76,3.811,0.5468,4.656,0.423,4.64,0.4721
