bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,3.20,3.73,1.76,4.20,0.8274,0.01214,0.6263,0.008294,0.4587,0.008597
2,0.05,0.10,3.20,3.73,1.76,4.20,0.7982,0.02751,0.6024,0.01875,0.4605,0.01915
3,0.10,0.15,3.20,3.73,1.76,4.20,0.8216,0.04556,0.6353,0.03363,0.4948,0.03532
4,0.15,0.20,3.20,3.73,1.76,4.20,0.8912,0.03252,0.6558,0.02349,0.4352,0.01943
5,0.20,0.25,3.20,3.73,1.76,4.20,0.8836,0.02696,0.6413,0.01775,0.4756,0.01743
6,0.25,0.30,3.20,3.73,1.76,4.20,0.877,0.02376,0.6573,0.01651,0.4899,0.01622
7,0.30,0.35,3.20,3.73,1.76,4.20,0.8898,0.02424,0.6552,0.01652,0.5071,0.01722
8,0.35,0.40,3.20,3.73,1.76,4.20,0.8428,0.02379,0.6818,0.01776,0.5202,0.01809
9,0.40,0.45,3.20,3.73,1.76,4.20,0.8944,0.02731,0.7017,0.01941,0.5421,0.0206
10,0.45,0.50,3.20,3.73,1.76,4.20,0.8958,0.03022,0.7026,0.02092,0.5172,0.02168
11,0.50,0.55,3.20,3.73,1.76,4.20,0.9097,0.03392,0.7804,0.02545,0.6144,0.02735
12,0.55,0.60,3.20,3.73,1.76,4.20,0.9505,0.03988,0.7877,0.0291,0.6651,0.03319
13,0.60,0.65,3.20,3.73,1.76,4.20,1.03,0.0494,0.8177,0.03325,0.754,0.04127
14,0.65,0.70,3.20,3.73,1.76,4.20,1.015,0.05479,0.9826,0.04549,0.7524,0.04764
15,0.70,0.75,3.20,3.73,1.76,4.20,1.137,0.07059,0.9987,0.05198,0.9438,0.06537
16,0.75,0.80,3.20,3.73,1.76,4.20,1.396,0.102,1.148,0.0691,1.1,0.08591
17,0.80,0.85,3.20,3.73,1.76,4.20,1.402,0.1207,1.426,0.09601,1.086,0.0986
18,0.85,0.90,3.20,3.73,1.76,4.20,1.752,0.1749,1.528,0.1192,1.253,0.1305
19,0.90,0.95,3.20,3.73,1.76,4.20,1.65,0.1977,2.058,0.1907,1.585,0.186
20,0.95,1.00,3.20,3.73,1.76,4.20,1.753,0.2532,2.45,0.2644,2.091,0.2864
21,1.00,1.20,3.20,3.73,1.76,4.20,3.008,0.3043,3.227,0.2419,3.342,0.2957
22,1.20,2.00,3.20,3.73,1.76,4.20,3.764,0.4701,5.194,0.4555,4.684,0.4651
