bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,2.20,3.20,1.00,1.33,0.8175,0.01251,0.577,0.00771,0.4234,0.00736
2,0.05,0.10,2.20,3.20,1.00,1.33,0.7721,0.02404,0.5973,0.01729,0.3861,0.01307
3,0.10,0.15,2.20,3.20,1.00,1.33,0.8012,0.02323,0.573,0.01457,0.4195,0.01485
4,0.15,0.20,2.20,3.20,1.00,1.33,0.8419,0.01946,0.5809,0.01224,0.4266,0.01135
5,0.20,0.25,2.20,3.20,1.00,1.33,0.8269,0.01849,0.6118,0.01236,0.4551,0.01179
6,0.25,0.30,2.20,3.20,1.00,1.33,0.8178,0.01931,0.6252,0.01317,0.4679,0.01294
7,0.30,0.35,2.20,3.20,1.00,1.33,0.8699,0.02197,0.6227,0.01389,0.4666,0.01359
8,0.35,0.40,2.20,3.20,1.00,1.33,0.8592,0.02346,0.6237,0.01494,0.4598,0.01477
9,0.40,0.45,2.20,3.20,1.00,1.33,0.8494,0.02572,0.642,0.01696,0.4898,0.01705
10,0.45,0.50,2.20,3.20,1.00,1.33,0.8369,0.02829,0.6803,0.01964,0.5084,0.01949
11,0.50,0.55,2.20,3.20,1.00,1.33,0.8843,0.03348,0.6994,0.02252,0.5576,0.02383
12,0.55,0.60,2.20,3.20,1.00,1.33,0.8852,0.03827,0.7783,0.02782,0.5888,0.02799
13,0.60,0.65,2.20,3.20,1.00,1.33,1.025,0.04943,0.8508,0.03378,0.6375,0.03409
14,0.65,0.70,2.20,3.20,1.00,1.33,1.087,0.05989,0.9346,0.04188,0.7853,0.04653
15,0.70,0.75,2.20,3.20,1.00,1.33,1.257,0.08304,1.035,0.05207,0.7925,0.05362
16,0.75,0.80,2.20,3.20,1.00,1.33,1.348,0.1002,1.245,0.07254,0.9539,0.07249
17,0.80,0.85,2.20,3.20,1.00,1.33,1.631,0.1435,1.342,0.0882,1.109,0.09591
18,0.85,0.90,2.20,3.20,1.00,1.33,1.836,0.1928,1.95,0.1554,1.357,0.1313
19,0.90,0.95,2.20,3.20,1.00,1.33,1.601,0.1969,2.025,0.1837,2.01,0.2079
20,0.95,1.00,2.20,3.20,1.00,1.33,2.572,0.4005,2.064,0.2119,1.985,0.2641
21,1.00,1.20,2.20,3.20,1.00,1.33,3.025,0.3201,3.568,0.2674,3.541,0.3206
22,1.20,2.00,2.20,3.20,1.00,1.33,3.668,0.4941,4.839,0.4572,3.993,0.4115
