pt**2 (GeV**2),NU (GeV),Z,Q**2 (GeV**2),R,Stat,Syst
0.024,13.95,0.38,2.75,0.898,0.009,0.029
0.073,15.27,0.38,2.69,0.906,0.011,0.029
0.184,16.36,0.39,2.61,0.894,0.007,0.028
0.384,17.06,0.42,2.56,0.904,0.012,0.028
0.586,17.25,0.45,2.56,0.938,0.018,0.029
0.787,17.33,0.49,2.60,0.903,0.026,0.028
0.987,17.59,0.51,2.57,0.901,0.036,0.028
1.229,17.74,0.53,2.50,0.988,0.047,0.030
1.794,17.77,0.58,2.53,0.985,0.054,0.030
